method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,DTLZ1,3,1000,0.75454545,200,0.59090909,20,1.2727273,0.17272727,4.705617017,5.466231594,0
Morris,MOEAD,DTLZ1,3,1000,0.75454545,200,0.59090909,20,2.9090909,0.17272727,4.735140961,5.03295072,8.31E-05
Morris,MOEAD,DTLZ1,3,1000,0.75454545,200,0.59090909,20,2.9090909,0.39090909,4.63486871,4.206191743,0
Morris,MOEAD,DTLZ1,3,1000,0.75454545,92,0.59090909,20,1.2727273,0.17272727,4.621834521,4.482402921,0
Morris,MOEAD,DTLZ1,3,1000,1,38,0.83636364,146,2.0909091,0.20909091,4.955519315,6.879118329,0
Morris,MOEAD,DTLZ1,3,1000,1,38,0.83636364,146,2.0909091,0.42727273,4.785505412,6.691001977,0
Morris,MOEAD,DTLZ1,3,109.0909,0.1818182,164,0.7545455,74,3.727273,0.3545455,3.048045913,6.831333121,0
Morris,MOEAD,DTLZ1,3,109.0909,0.1818182,56,0.7545455,74,2.090909,0.1363636,3.74468433,7.147601332,0
Morris,MOEAD,DTLZ1,3,109.0909,0.1818182,56,0.7545455,74,3.727273,0.1363636,3.13760365,4.918590778,0
Morris,MOEAD,DTLZ1,3,109.0909,0.1818182,56,0.7545455,74,3.727273,0.3545455,3.075327913,5.287994451,0
Morris,MOEAD,DTLZ1,3,109.0909,0.5090909,74,0.8363636,200,3.181818,0.1,2.844056806,6.636147675,0
Morris,MOEAD,DTLZ1,3,109.0909,0.5090909,74,0.8363636,92,3.181818,0.1,3.128202856,4.024071808,0
Morris,MOEAD,DTLZ1,3,109.0909,0.8363636,92,0.3454545,128,3.454545,0.4636364,2.79867152,5.722183892,0
Morris,MOEAD,DTLZ1,3,109.0909,0.8363636,92,0.3454545,20,3.454545,0.4636364,1.82080196,4.825570617,0
Morris,MOEAD,DTLZ1,3,109.0909,1,182,0.8363636,92,3.181818,0.1,2.598450142,6.072858241,0
Morris,MOEAD,DTLZ1,3,109.0909,1,74,0.8363636,92,3.181818,0.1,2.742182917,6.62955321,0
Morris,MOEAD,DTLZ1,3,198.1818,0.1818182,2,0.9181818,2,2.090909,0.1,4.509276922,4.200883348,0
Morris,MOEAD,DTLZ1,3,198.1818,0.2636364,182,0.1,200,3.454545,0.3545455,3.097342905,7.981893514,0
Morris,MOEAD,DTLZ1,3,198.1818,0.2636364,182,0.1,92,3.454545,0.3545455,2.909660316,8.348311061,0
Morris,MOEAD,DTLZ1,3,198.1818,0.2636364,182,0.5909091,200,3.454545,0.3545455,2.379213402,8.197917807,0
Morris,MOEAD,DTLZ1,3,198.1818,0.2636364,74,0.1,92,3.454545,0.3545455,2.788964039,6.946526222,0
Morris,MOEAD,DTLZ1,3,198.1818,0.5090909,128,0.7545455,56,3.181818,0.3181818,2.107332747,5.959920296,0
Morris,MOEAD,DTLZ1,3,198.1818,0.5090909,56,0.1818182,182,3.181818,0.1,3.227044673,6.067421327,0
Morris,MOEAD,DTLZ1,3,198.1818,0.5090909,56,0.1818182,182,3.181818,0.3181818,2.597278907,5.397328673,0
Morris,MOEAD,DTLZ1,3,198.1818,0.6727273,2,0.9181818,2,2.090909,0.1,3.534289173,4.093158741,0
Morris,MOEAD,DTLZ1,3,198.1818,0.6727273,2,0.9181818,2,2.090909,0.3181818,1.976249028,3.529528958,0.000754618
Morris,MOEAD,DTLZ1,3,198.1818,0.7545455,74,0.1,92,1.818182,0.1363636,2.718362864,6.675913916,0
Morris,MOEAD,DTLZ1,3,198.1818,0.7545455,74,0.1,92,1.818182,0.3545455,2.466665605,6.848069529,0
Morris,MOEAD,DTLZ1,3,198.1818,0.7545455,74,0.1,92,3.454545,0.3545455,2.617266962,9.050409061,0
Morris,MOEAD,DTLZ1,3,198.1818,0.8363636,20,1,164,3.727273,0.2454545,2.215000737,5.347951448,0
Morris,MOEAD,DTLZ1,3,198.1818,0.8363636,20,1,56,3.727273,0.2454545,2.273984433,7.638491987,0
Morris,MOEAD,DTLZ1,3,198.1818,1,128,0.7545455,164,1.545455,0.3181818,1.843547014,8.010109816,0
Morris,MOEAD,DTLZ1,3,198.1818,1,128,0.7545455,164,3.181818,0.3181818,2.0333339,6.159027226,0
Morris,MOEAD,DTLZ1,3,198.1818,1,128,0.7545455,56,3.181818,0.3181818,2.060361215,6.628202356,0
Morris,MOEAD,DTLZ1,3,198.1818,1,20,0.2636364,164,1.545455,0.3181818,2.366963277,6.636801321,0
Morris,MOEAD,DTLZ1,3,198.1818,1,20,0.7545455,164,1.545455,0.3181818,2.317006124,5.46474744,0
Morris,MOEAD,DTLZ1,3,20,0.263636,92,0.345455,56,1.54545,0.427273,8.608409018,6.226105811,0
Morris,MOEAD,DTLZ1,3,20,0.2636364,92,0.3454545,164,1.545455,0.4272727,8.66666723,7.509955582,0
Morris,MOEAD,DTLZ1,3,20,0.2636364,92,0.3454545,164,3.181818,0.4272727,8.424004734,8.81248413,0
Morris,MOEAD,DTLZ1,3,20,0.4272727,200,0.7545455,110,4,0.1,10.7805651,6.120442398,0
