method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ1,3,1000,0.1,110,0.1,164,3.4545455,34.25577559,15.99455006,0
Morris,NSGAIII,DTLZ1,3,1000,0.1,110,0.1,164,7.8181818,35.86576484,16.45871782,0
Morris,NSGAIII,DTLZ1,3,1000,0.26363636,110,0.18181818,200,2.7272727,32.4387562,12.93957483,0
Morris,NSGAIII,DTLZ1,3,1000,0.34545455,200,0.59090909,200,7.8181818,31.89892194,10.95579712,0
Morris,NSGAIII,DTLZ1,3,1000,0.42727273,20,0.42727273,200,7.0909091,31.42639099,9.166740068,0
Morris,NSGAIII,DTLZ1,3,1000,0.42727273,20,0.91818182,200,7.0909091,31.00907069,10.87191016,0
Morris,NSGAIII,DTLZ1,3,1000,0.75454545,110,0.18181818,200,2.7272727,28.94779149,7.864928887,0
Morris,NSGAIII,DTLZ1,3,1000,0.75454545,110,0.18181818,200,7.0909091,29.34829378,9.886560679,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.2636364,128,0.4272727,164,3.454545,11.89763293,5.828822818,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.2636364,20,0.4272727,164,3.454545,13.43905529,5.127929695,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.2636364,20,0.4272727,164,7.818182,15.75965959,6.01881809,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.2636364,20,0.9181818,164,7.818182,15.09016961,5.246329578,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.7545455,128,0.4272727,164,3.454545,6.822442481,2.997555222,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.9181818,182,0.6727273,110,6.363636,6.998933318,3.255770499,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.9181818,74,0.6727273,110,6.363636,7.027335781,3.375453956,0
Morris,NSGAIII,DTLZ1,3,109.0909,0.9181818,74,0.6727273,2,2,6.446422397,1.911474052,0.004215932
Morris,NSGAIII,DTLZ1,3,109.0909,0.9181818,74,0.6727273,2,6.363636,7.562829091,3.360350243,0
Morris,NSGAIII,DTLZ1,3,198.1818,0.4272727,164,0.1818182,182,8.545455,16.74713174,6.897994094,0
Morris,NSGAIII,DTLZ1,3,20,0.1,92,0.427273,56,6.36364,10.76610579,7.336748284,0
Morris,NSGAIII,DTLZ1,3,20,0.1,92,0.918182,56,6.36364,8.515593776,4.17367015,0
Morris,NSGAIII,DTLZ1,3,20,0.263636,92,0.509091,92,6.36364,7.455103428,5.510505039,0
Morris,NSGAIII,DTLZ1,3,20,0.263636,92,1,92,6.36364,6.943882267,5.301576474,0
Morris,NSGAIII,DTLZ1,3,20,0.4272727,128,0.2636364,146,7.090909,8.528267204,5.925296893,0
Morris,NSGAIII,DTLZ1,3,20,0.590909,92,0.918182,56,6.36364,5.668757145,5.598829158,0
Morris,NSGAIII,DTLZ1,3,20,0.5909091,92,0.9181818,164,6.363636,6.542751888,6.255179936,0
Morris,NSGAIII,DTLZ1,3,20,0.8363636,20,0.1818182,110,7.818182,6.114833129,6.223972048,0
Morris,NSGAIII,DTLZ1,3,20,0.8363636,20,0.6727273,110,3.454545,5.907557995,6.739340338,0
Morris,NSGAIII,DTLZ1,3,20,0.8363636,20,0.6727273,110,7.818182,5.809874265,7.118494412,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.1,146,0.5909091,128,4.909091,29.19522604,9.624449396,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.2636364,74,0.9181818,56,4.181818,21.78219163,6.544187838,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.4272727,110,0.3454545,92,7.818182,20.63974278,8.875234957,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.4272727,146,0.1818182,164,2,17.94446235,5.13579871,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.4272727,146,0.1818182,164,6.363636,19.79079953,7.387525716,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.4272727,146,0.1818182,56,6.363636,20.28539905,6.610390758,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.8363636,128,0.5090909,200,8.545455,16.41666448,5.657092467,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.8363636,128,1,200,8.545455,16.35785942,6.03765016,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,110,0.3454545,92,7.818182,15.34802304,4.732348758,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,146,0.1818182,56,6.363636,15.17005255,5.856267278,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,182,0.5090909,20,6.363636,15.68805899,5.201668667,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,182,1,128,6.363636,15.27311027,5.64005968,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,182,1,20,6.363636,16.20579819,5.509433508,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,74,1,128,2,13.86412928,4.085046733,0
Morris,NSGAIII,DTLZ1,3,287.2727,0.9181818,74,1,128,6.363636,15.43165347,3.430144755,0
Morris,NSGAIII,DTLZ1,3,287.2727,1,38,0.1818182,164,7.818182,15.22133448,5.103831286,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.2636364,200,0.2636364,128,3.454545,25.34282664,7.404353674,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.2636364,200,0.2636364,20,3.454545,24.64276003,9.38990486,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.7545455,200,0.2636364,128,3.454545,18.15734235,6.963028509,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.7545455,200,0.2636364,128,7.818182,19.43842669,6.392146361,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.7545455,200,0.7545455,128,7.818182,20.09940173,5.592182971,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.9181818,200,0.5909091,164,4.181818,17.45175834,4.287012785,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.9181818,200,0.5909091,164,8.545455,19.03187762,4.759141299,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.1,110,0.1,164,7.818182,33.80226964,11.75920438,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.2636364,110,0.1818182,200,2.727273,27.95125094,6.821844784,0
