pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
0.96632,0.55915,0.41381,0.41762,0.60631,0.29095,0.58464,0.84086,0.11602,0.14028,0.0011326,-0.12352,0.081571,0.044656
0.93553,0.52191,0.51416,0.62496,0.64886,0.52144,0.51306,1.0287,-0.059414,-0.022608,-0.13498,-0.1491,-0.056971,0.0023818
0.6732,0.61088,0.18947,0.35935,0.46795,0.39971,0.28011,0.68583,0.19008,0.33582,0.091938,0.17324,0.14508,0.28771
-1.1791,-5.1994,-5.2509,-5.0154,-4.9303,-3.3707,-5.3008,-0.13018,0.66895,0.82125,0.64278,0.49265,1.7825,0.78929
0.885,0.38435,0.24605,0.30194,0.29919,0.18588,0.27071,0.92294,-0.075491,0.065685,-0.030183,-0.019837,0.13557,0.06123
1.0168,0.40108,0.3624,0.34294,0.3387,0.36147,0.30842,0.98287,-0.084067,0.0083271,-0.065171,-0.070511,-0.001672,0.080649
1.1298,0.65255,0.68161,0.70595,0.66577,0.73933,0.656,0.85056,-0.14105,-0.13235,-0.17213,-0.15762,-0.1373,-0.099389
-3.18466,-11.4003,-11.4928,-12.2465,-11.7968,-7.2137,-11.4769,-0.148819,2.31528,2.40932,2.76917,2.46272,2.55902,2.42817
1.1723,0.50586,0.47297,0.50055,0.5294,0.53836,0.4909,0.92593,-0.066698,-0.061343,-0.13206,-0.13957,-0.11925,-0.073234
-0.039964,-1.7346,-2.4771,-2.1288,-1.6311,-1.777,-1.8122,-0.62286,0.031011,0.35016,0.13217,-0.15502,2.1516,0.13234
