pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
0.057016,0.029749,0.0089623,0.015433,0.0078791,0.029123,0.013194,0.058592,0.040195,0.0091926,0.01824,0.0098693,0.040614,0.017131
6.009,0.82163,0.78769,0.823,0.49425,0.77642,1.729,6.9844,0.83202,0.90637,0.87251,0.33383,1.2121,2.5548
0.011106,0.0046144,0.002117,0.001979,0.0022166,0.0023492,0.0024369,0.012135,0.0096965,0.0041852,0.0024376,0.0018883,0.0036776,0.0025458
17.8851,3.28145,6.25441,4.24001,2.72772,1.54098,4.76835,21.1816,7.07606,19.8775,9.73421,2.51665,2.08273,7.38232
0.024011,0.0046811,0.0085847,0.011831,0.0055541,0.003517,0.008742,0.031876,0.0087383,0.025313,0.02121,0.0053779,0.0058336,0.016436
9.88015,3.71558,1.61126,4.32277,2.10624,1.48293,2.09724,12.1941,6.7086,1.26989,6.23477,1.73389,2.04965,3.05549
0.0047064,0.0028947,0.0017599,0.0016087,0.0020154,0.0020818,0.0010139,0.0037217,0.0031425,0.0029289,0.0022332,0.0018345,0.0035227,0.0011402
0.05274,0.015493,0.011856,0.0086168,0.005053,0.051552,0.008668,0.054504,0.020457,0.015526,0.011331,0.0051745,0.060134,0.0065902
0.010661,0.012143,0.0043767,0.0051809,0.0076909,0.034241,0.006217,0.012348,0.011994,0.0065595,0.0073112,0.01739,0.065318,0.0048554
0.016484,0.0075356,0.0052047,0.0089887,0.007777,0.038915,0.0030909,0.030066,0.011649,0.0068864,0.011434,0.006609,0.072525,0.0024074
