pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
,,,,,,,,,,,,,
0.058152,0.076295,0.054233,0.05893,0.081497,0.14705,0.038187,0.049471,0.068058,0.090357,0.054178,0.039509,0.25013,0.047131
27.0779,6.97364,25.1742,8.75084,8.26255,5.2881,10.8902,20.4737,8.33517,69.705,11.6745,6.13902,8.84122,13.5874
0.060462,0.075191,0.063595,0.06098,0.068608,0.035956,0.087876,0.062721,0.064642,0.13761,0.065757,0.043293,0.053458,0.13981
61.46299,41.77265,88.23313,57.36917,38.14973,18.33164,61.23836,45.12887,80.45086,275.8005,106.6865,37.56496,31.68896,90.10325
0.59712,0.41333,1.2471,0.47213,0.17427,0.41699,0.64309,0.63263,0.54915,3.9362,0.87679,0.22429,0.61469,1.2866
33.4721,46.1217,17.0724,31.9633,33.501,13.4613,18.6084,28.3935,77.7161,22.442,46.2459,41.0405,14.1175,16.848
0.030491,0.047219,0.020855,0.027007,0.047376,0.075765,0.018686,0.032644,0.049717,0.017858,0.029531,0.030005,0.12441,0.017057
0.10567,0.26983,0.12413,0.16252,0.077141,0.6964,0.080961,0.12774,0.31369,0.13189,0.14511,0.06175,1.3177,0.075229
0.09325,0.22246,0.1212,0.10425,0.16838,0.19967,0.097393,0.13113,0.27076,0.16087,0.087034,0.16773,0.20474,0.07493
0.11677,0.19022,0.13305,0.11134,0.14958,0.17672,0.056499,0.16258,0.28931,0.2459,0.13917,0.1138,0.1684,0.043626
