pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
0.0031227,0.0017033,0.0017129,0.015724,0.0007946,0.0010909,0.0012191,0.012555,0.0057304,0.0042809,0.052257,0.0021748,0.0037166,0.0037717
0.098611,0.094514,0.098947,0.08829,0.10453,0.049067,0.091222,0.11303,0.055012,0.26493,0.10854,0.042933,0.078234,0.1012
0.00096423,0.00018796,0.0010555,0.0012095,0.00017712,0.00037653,0.0011063,0.0029564,0.00048546,0.0034969,0.0036435,0.00056726,0.0011358,0.0039975
0.24754,0.1786,0.38401,0.2117,0.09734,0.16962,0.28729,0.30897,0.22509,1.0813,0.43574,0.071825,0.2979,0.51626
0.035317,0.063306,0.022299,0.040015,0.06314,0.026481,0.02663,0.034158,0.062533,0.034945,0.037338,0.028078,0.034239,0.024299
0.076733,0.074708,0.06351,0.077092,0.086005,0.22004,0.043579,0.069029,0.062551,0.12847,0.093632,0.034941,0.42138,0.05084
0.042772,0.086936,0.036926,0.064951,0.031078,0.25801,0.031392,0.05037,0.085088,0.033264,0.051939,0.024101,0.40153,0.031311
2.11E-05,0.00017902,0.00053701,7.32E-05,0.00023976,0.00032279,0.0015625,6.69E-05,0.00078437,0.0023394,0.0002357,0.0010476,0.0014312,0.006964
0.043822,0.096852,0.054196,0.071683,0.091533,0.17877,0.02649,0.057179,0.14594,0.082379,0.079719,0.059073,0.27471,0.021941
0.029091,0.12069,0.037832,0.04502,0.077331,0.18426,0.046687,0.032199,0.11715,0.038798,0.037685,0.088684,0.30169,0.045878
