pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
0.075094,0.030004,0.016343,0.048876,0.095438,0.032961,0.020022,0.055615,0.023484,0.020641,0.03989,0.074258,0.03327,0.025396
21.2977,2.79168,3.03416,5.77804,10.2137,3.02562,3.84194,2.91882,2.6988,2.44417,5.32338,10.4806,2.25154,4.13551
0.07616,0.061739,0.021738,0.039425,0.079809,0.021764,0.032379,0.10436,0.044269,0.029324,0.02429,0.051887,0.022485,0.017433
62.1819,8.11907,10.069,20.8838,34.1369,7.50092,10.2829,9.55746,6.49827,8.51206,13.2861,33.109,5.71764,9.17288
0.40728,0.10591,0.074608,0.093871,0.19044,0.094597,0.11053,0.22509,0.091196,0.072404,0.054877,0.23878,0.088173,0.10336
36.1299,4.71523,3.77378,10.3415,21.9287,5.27601,5.78785,6.09119,3.81855,3.42963,9.24808,24.1861,3.23966,6.28203
0.045005,0.0283,0.010639,0.02585,0.048328,0.022301,0.013698,0.072444,0.02066,0.016157,0.021002,0.023381,0.029918,0.01624
0.2265,0.086895,0.038313,0.076123,0.12695,0.1917,0.07128,0.39769,0.064703,0.02588,0.067453,0.12041,0.21572,0.11195
0.31378,0.16108,0.055539,0.071423,0.094503,0.11592,0.077744,0.56534,0.11863,0.06528,0.042837,0.058837,0.085388,0.052064
0.37598,0.13358,0.049737,0.040522,0.10627,0.10613,0.068523,0.6396,0.067263,0.070678,0.029317,0.072757,0.084319,0.075844
