pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
,,,,,,,,,,,,,
0.081014,0.041458,0.02113,0.066042,0.13248,0.036699,0.024124,0.02475,0.031935,0.026164,0.060418,0.10859,0.035217,0.028788
0.00042556,0.00087843,4.2986e-06,0.00061702,0.00021546,1.3903e-06,8.9155e-05,0.0017691,0.0033415,1.9104e-05,0.0023211,0.00075631,6.2175e-06,0.00031801
0.071229,0.079389,0.027129,0.069788,0.12116,0.028011,0.040665,0.051774,0.053961,0.036738,0.049676,0.054577,0.023916,0.029971
2.5579e-05,8.7561e-05,0.00014286,7.4657e-05,0,0.00014999,8.19e-05,0.0001072,0.00038422,0.00063887,0.00033387,0,0.00046367,0.00036498
0.17606,0.052986,0.031408,0.077751,0.12325,0.042151,0.045895,0.12127,0.040758,0.035217,0.037208,0.12005,0.028984,0.045893
0,8.7435e-05,0,8.7715e-05,9.5432e-06,1.4187e-05,2.373e-05,0,0.00030247,0,0.00030365,4.2679e-05,6.3447e-05,7.4578e-05
0.05654,0.039353,0.01148,0.035556,0.062588,0.025303,0.018739,0.069615,0.031205,0.017439,0.024551,0.02552,0.042789,0.022278
0.071999,0.04342,0.012894,0.026221,0.042311,0.080787,0.021999,0.12529,0.029896,0.0097586,0.016351,0.035101,0.08439,0.030325
0.070521,0.070328,0.020311,0.035805,0.041535,0.049545,0.022743,0.11543,0.050122,0.017595,0.025506,0.018977,0.062198,0.015331
0.077321,0.057147,0.026801,0.035206,0.087378,0.044898,0.016364,0.13442,0.03223,0.034123,0.02438,0.055938,0.062971,0.011184
