pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
-2.9874,-2.995,-2.5902,-1.8133,-1.5546,-3.2955,-2.9147,1.7113,1.958,1.4425,0.88717,1.1435,2.0356,1.7967
0.96348,1.7155,1.3052,1.5344,1.2788,1.1677,1.2602,1.0414,-0.77838,-0.2727,-0.57751,0.037365,-0.10711,-0.30723
-2.7603,-2.9485,-2.7061,-2.7211,-1.8669,-3.1884,-2.8824,1.1908,1.8765,1.3394,1.2432,1.0838,1.8437,1.4805
1.2929,1.8578,1.5556,2.0873,1.7971,1.4358,1.6345,0.84741,-0.62674,-0.2461,-0.87037,-0.18726,-0.16402,-0.30317
-1.3319,-5.5301,-5.9187,-5.4196,-5.2599,-4.7076,-5.2524,0.39983,2.8208,2.986,2.6481,2.3631,2.0693,2.3843
1.2496,1.3689,1.1404,1.5436,1.4832,1.3566,1.5184,0.65679,-0.38457,-0.097429,-0.58536,-0.033289,-0.24846,-0.46985
-6.1495,-7.3813,-7.653,-6.9367,-6.255,-8.687,-8.1174,2.3452,3.7438,3.5684,2.8597,2.941,4.0949,3.8334
-0.45325,-2.003,-1.6857,-1.1434,-1.4708,-0.85149,-1.6801,-0.49644,0.12912,0.03313,-0.32116,-0.30753,1.8956,0.078627
-5.59586,-7.29047,-7.45526,-7.08367,-6.36296,-10.6227,-8.00023,1.62448,3.56776,2.94224,2.33262,2.00971,5.11443,3.23679
-3.8952,-6.3416,-6.9712,-6.5602,-5.9669,-8.963,-6.9696,0.94202,2.7094,2.9566,2.2339,2.1471,4.4506,2.761
