pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
0.28128,0.10351,0.11143,0.03914,0.025541,0.10097,0.10496,0.097295,0.24251,0.046028,0.031837,0.16538
25.2173,9.63828,9.19007,2.20824,1.86428,5.80243,12.5332,6.87637,21.7473,3.32445,3.03786,6.49366
0.03038,0.015304,0.0078548,0.0020284,0.0016456,0.0057256,0.013126,0.01222,0.014485,0.0025213,0.0016654,0.0046033
69.3548,24.178,21.4514,5.84715,4.98009,8.66403,39.5016,17.4003,40.4641,7.32259,4.15865,8.7583
0.059836,0.025238,0.030294,0.0057246,0.0051031,0.0084212,0.026106,0.024682,0.090364,0.0067706,0.0054726,0.0077173
72.3106,22.6589,22.5627,6.06391,6.67288,20.4986,40.4927,18.4662,63.7794,7.47675,10.179,32.3002
0.015585,0.010298,0.006753,0.0013153,0.0014976,0.0041897,0.0084714,0.0069562,0.016469,0.001316,0.0015537,0.0036721
0.03083,0.0019489,0.0096167,0.0025855,0.0015739,0.003108,0.031956,0.0023971,0.019705,0.0037506,0.0013295,0.0047833
0.010982,0.011164,0.0075848,0.0024009,0.0023301,0.0047105,0.0089094,0.0066094,0.018494,0.0035808,0.0020399,0.0047199
0.014933,0.0080339,0.0054456,0.0011182,0.00089168,0.0018645,0.018253,0.0081536,0.011336,0.0013488,0.00088629,0.0014018
