pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
0.2448,0.13446,0.066328,0.044212,0.034301,0.050968,0.096485,0.10795,0.10385,0.076898,0.034726,0.074942
83.196,29.8389,34.1933,11.3491,11.3588,24.6734,31.7486,28.6291,55.1147,16.4721,17.4609,41.8541
0.17517,0.089153,0.039833,0.022341,0.017798,0.023425,0.10617,0.056501,0.073529,0.049006,0.020014,0.016004
217.8444,68.34407,92.16982,24.10034,26.56347,52.16977,96.50314,54.39801,171.0983,34.86978,21.71616,69.83375
0.29807,0.18974,0.31373,0.11266,0.090842,0.15514,0.15976,0.15887,0.75452,0.16636,0.095156,0.25081
155.6177,41.02218,102.8535,20.52814,18.99752,43.36756,61.0279,29.41539,223.7185,25.12601,40.36506,78.99621
0.080879,0.055868,0.015747,0.0059685,0.0084219,0.015002,0.031676,0.046014,0.026023,0.0050919,0.007351,0.014252
0.14075,0.1293,0.028955,0.043734,0.027337,0.031063,0.07982,0.071179,0.055236,0.063462,0.02527,0.029387
0.1925,0.14669,0.042473,0.031534,0.022969,0.041579,0.092689,0.086642,0.072815,0.054203,0.026196,0.026913
0.11918,0.13834,0.031534,0.012863,0.015596,0.027377,0.077757,0.082308,0.052125,0.016347,0.014456,0.033622
