pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
,,,,,,,,,,,
0.24896,0.091315,0.037902,0.017258,0.012083,0.021769,0.07405,0.032718,0.0374,0.018189,0.012964,0.015261
22.2753,8.64387,1.07893,1.01689,0.912203,2.16963,11.4209,3.17785,0.808776,0.925059,0.539762,1.01564
0.028816,0.011895,0.0020398,0.0015781,0.00095271,0.0025243,0.0093995,0.0051341,0.0018083,0.0019168,0.0011769,0.0012721
64.5127,23.5574,2.67826,2.3587,2.35454,4.83747,35.0408,9.59028,2.62625,2.54979,2.07644,2.95442
0.057657,0.01778,0.0021955,0.0037526,0.0024232,0.0037386,0.019934,0.0053997,0.001834,0.0033407,0.0022155,0.0021616
63.8704,16.3407,3.63317,2.3663,2.40731,4.72606,25.1914,6.29694,2.96325,1.73801,2.10789,2.20061
0.016811,0.0078552,0.00090413,0.0011906,0.00083024,0.0019082,0.0055977,0.0033224,0.00058011,0.0017749,0.00081093,0.00088871
0.031091,0.0074796,0.00075892,0.0032842,0.0018424,0.0019191,0.04007,0.026816,0.00086115,0.00787,0.005609,0.0028625
0.011631,0.010149,0.001377,0.0024711,0.0011983,0.00308,0.0091041,0.008028,0.0010378,0.0040349,0.001511,0.0012739
0.028128,0.0068923,0.00038,0.0021717,0.00088847,0.0014414,0.049351,0.010141,0.00051343,0.0044767,0.0023819,0.00096985
