pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
0.25604,0.14388,0.0097578,0.015801,0.015512,0.018659,0.073737,0.062406,0.006733,0.016233,0.017733,0.012979
0,0,0,0,0,7.06E-05,0,0,0,0,0,0.00031554
0.23485,0.11805,0.0075421,0.012084,0.0094822,0.015564,0.076932,0.040828,0.0063915,0.014184,0.011106,0.0080802
0,0,0,0,0,0,0,0,0,0,0,0
0.25663,0.12319,0.021519,0.022779,0.016359,0.024386,0.13476,0.048749,0.025922,0.025093,0.020452,0.018539
0,0,0,0,0,0,0,0,0,0,0,0
0.12926,0.081446,0.0050082,0.0055333,0.0063968,0.013526,0.048992,0.030968,0.0045117,0.0044953,0.010247,0.0082554
0.043127,0.047605,0.0027877,0.0072038,0.0058495,0.0046957,0.03787,0.020034,0.0022987,0.013192,0.0072386,0.0041388
0.090583,0.061669,0.0040891,0.0079147,0.0052825,0.010985,0.048776,0.024407,0.0028207,0.01574,0.0066997,0.0057492
0.085084,0.064764,0.006036,0.0074727,0.0057025,0.01112,0.045567,0.02381,0.0059599,0.013591,0.011067,0.006867
