pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
,,,,,,,,,,,
0.97094,0.35886,0.42663,0.39718,0.39332,0.35978,0.70607,0.31643,0.072541,0.12588,0.11842,0.18256
0.74888,0.33204,0.16423,0.19675,0.21289,0.13593,0.81477,0.2194,0.26652,0.23374,0.21604,0.33286
0.78551,0.35044,0.23295,0.2307,0.2172,0.10591,0.7576,0.26682,0.17823,0.19328,0.1996,0.33882
0.67908,0.16018,0.0029639,0.034927,0.030704,-0.01184,0.87366,0.29074,0.34161,0.30328,0.28424,0.38591
0.95343,0.33086,0.26947,0.24344,0.31541,0.24256,0.77287,0.2288,0.18078,0.18078,0.13537,0.22598
0.98447,0.33785,0.30653,0.36444,0.33052,0.31257,0.76724,0.15061,0.14381,0.072716,0.089153,0.15496
0.66146,0.34559,0.11327,0.13017,0.13731,0.017638,0.71947,0.30487,0.25739,0.25422,0.23607,0.38654
1.1552,1.2104,1.0037,0.86527,1.0209,0.85469,1.0972,-0.35217,-0.18168,-0.066869,-0.19548,-0.060158
-3.1485,-0.12573,-5.0203,-5.0807,-4.5983,-5.8625,1.5023,-0.4849,2.423,2.4789,2.2209,3.2414
0.18271,1.1623,-0.00010037,0.0040954,0.0063006,-0.1894,1.37,-0.43039,0.16904,0.15978,0.16437,0.27388
