pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
0.9297,0.58993,0.37303,0.4601,0.42552,0.33117,0.59201,0.29055,0.2306,0.12446,0.1465,0.24918
0.91065,0.29795,0.20681,0.18811,0.18365,0.19076,0.76501,0.22436,0.23058,0.21561,0.22814,0.2249
0.57609,0.51169,0.15247,0.054116,0.11899,0.033261,0.7415,0.26855,0.30768,0.38725,0.31452,0.43098
0.81808,0.26318,0.18925,0.16463,0.22898,0.18917,0.84753,0.21975,0.24326,0.249,0.17844,0.23863
0.78507,1.2514,0.82467,0.56022,0.76953,0.84945,0.84485,-0.39104,-0.1714,-0.10162,-0.19834,-0.20131
0.87479,0.17271,0.15658,0.21949,0.21105,0.15887,0.88808,0.25896,0.24256,0.1576,0.13943,0.22538
0.78809,1.087,0.61585,0.59954,0.6187,0.51857,0.65662,0.073078,0.015476,0.038548,0.019861,0.13798
-1.001,0.33323,-1.2554,-1.3671,-1.2968,-1.3404,1.3319,0.0022491,0.96286,1.07,1.0093,1.044
-0.56864,0.60322,-0.94054,-1.0498,-0.87696,-1.1507,1.1329,-0.09588,0.8613,0.95722,0.81249,1.0812
-0.4406,1.5574,-0.16201,-0.20479,-0.12272,-0.37418,1.2785,-0.53956,0.3327,0.36188,0.30762,0.546
