pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
,,,,,,,,,,,
1.0519,0.33095,0.8979,0.75574,0.84888,1.0213,0.65028,0.72415,-0.13318,-0.0074754,-0.10681,-0.2712
,,,,,,,,,,,
1.3809,0.56654,0.99879,1.0574,1.0425,1.1321,0.47283,0.55818,-0.12747,-0.19376,-0.18857,-0.24083
,,,,,,,,,,,
1.2118,0.26636,0.59129,0.61582,0.60093,0.58496,0.48471,0.52443,0.044518,-0.063581,-0.020536,0.070327
,,,,,,,,,,,
1.6004,0.26735,1.0963,1.1221,1.1711,1.2826,0.13149,1.0288,-0.21797,-0.23771,-0.29966,-0.37882
3.733,2.1723,3.8946,4.0678,4.101,4.0292,-0.80461,0.82956,-1.575,-1.7498,-1.77,-1.709
2.8582,1.6767,3.1361,3.2585,3.1466,3.4148,-0.16037,0.68226,-1.2318,-1.3601,-1.2343,-1.4875
4.0647,1.135,3.6062,3.6872,3.7397,4.175,-1.453,1.8196,-1.5574,-1.6594,-1.6913,-2.1248
