pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
0,0,0,0,0,0,0,0,0,0,0,0
0.29764,0.13542,0.052086,0.032869,0.025548,0.028694,0.13939,0.089069,0.073579,0.063924,0.025544,0.021136
0,0,0,0,0,0,0,0,0,0,0,0
0.29181,0.15579,0.14369,0.053076,0.041753,0.060217,0.13217,0.10529,0.30746,0.066135,0.05216,0.083307
,,,,,,,,,,,
0.31001,0.16378,0.091427,0.04844,0.036803,0.064419,0.092384,0.13066,0.15407,0.096375,0.034592,0.085932
0,0,0,0,0,0,0,0,0,0,0,0
0.14651,0.086304,0.021636,0.010283,0.010672,0.026511,0.056249,0.068848,0.039345,0.010894,0.010006,0.021886
0.056067,0.058089,0.021548,0.01852,0.012291,0.012373,0.037226,0.031331,0.039616,0.027706,0.012608,0.012828
0.10824,0.07347,0.020769,0.014615,0.010198,0.017929,0.053723,0.042888,0.0428,0.021522,0.010793,0.011161
0.064578,0.074165,0.021544,0.0074549,0.0068257,0.017453,0.033283,0.045096,0.029631,0.006071,0.0060887,0.018898
