pop,pSBX,sbxDI,pm,pmDI,tournament,pop,pSBX,sbxDI,pm,pmDI,tournament
73.7481,22.8692,5.59827,3.3322,4.29976,4.13284,30.7185,9.76058,4.18432,2.66301,3.1154,3.16278
0.11761,0.077393,0.0054051,0.0052616,0.0058476,0.0089614,0.063813,0.028142,0.0034903,0.003804,0.0045943,0.0052567
214.5151,62.93319,14.70448,8.617062,11.24919,17.60991,90.95245,32.83154,13.40188,8.128136,10.30513,9.60401
0.32566,0.1297,0.028814,0.037239,0.028766,0.039717,0.23704,0.06334,0.059667,0.046387,0.043362,0.037034
,,,,,,,,,,,
0.19463,0.1123,0.0092462,0.013014,0.013305,0.014533,0.065337,0.043206,0.0068105,0.012764,0.01483,0.011438
135.4915,34.23365,12.51071,8.164152,5.684877,6.63883,44.3713,16.26634,12.79575,5.012665,5.5846,5.064148
0.102,0.05343,0.0036134,0.005255,0.0072689,0.0078452,0.048901,0.022363,0.0031388,0.0071222,0.019031,0.0039833
0.15384,0.11454,0.0073256,0.015551,0.013307,0.011619,0.093473,0.046213,0.0060702,0.026523,0.020091,0.013249
0.17915,0.12558,0.0084244,0.019293,0.010389,0.020633,0.089677,0.051837,0.0052222,0.051853,0.012163,0.0091461
0.21082,0.11731,0.0065332,0.010168,0.0084521,0.01855,0.21138,0.039495,0.0059482,0.022689,0.011422,0.009953
