lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
60564.2531,24568.2054,26127.5695,24786.5835,25263.0694,63398.1722,40353.4251,36797.7929,28690.062,55761.7361
4.1632,1.6046,2.0188,1.1717,2.3586,4.1639,2.6826,2.3045,2.5951,6.5381
515.48983,320.05567,168.74564,583.99561,194.66036,505.55082,1068.7149,129.36648,2586.4211,199.70922
6185543.69955,7176234.13537,5121123.53033,10201040.6215,6467288.34975,7036792.12014,26641949.1129,5212132.49557,51873403.3478,14813181.1251
456428.11206,349954.93754,436414.33194,550658.78342,589309.48218,632199.59443,502538.99678,524281.55046,1477515.1904,1233410.2754
0,0,0,2.8168e-15,3.8586e-15,0,0,0,1.9918e-14,2.7284e-14
208.40596,271.47521,240.08967,116.38853,123.7984,609.56273,1049.0416,792.90731,245.94275,313.42164
10.835,5.68046,6.33374,3.28787,10.0897,41.732,10.7388,21.7802,5.79846,26.1944
248.658844,1848.96322,366.147874,626.75508,410.402084,335.883083,11018.7945,932.811431,2820.34874,610.640298
1.6554804819044e+21,1.097345030701987e+21,1.52709509845546e+21,9.584419609822237e+20,2.769324923480103e+21,7.859973499143951e+21,4.650240576347112e+21,5.031847113033087e+21,2.649566358233821e+21,1.431889251637073e+22
4.55911,6.18751,3.798,3.49615,5.75345,4.67951,12.7325,8.29785,6.55735,13.1854
5.86673,7.6698,4.17148,5.36158,3.94765,7.93627,20.589,4.1547,18.2122,4.1902
4.47559,5.92709,3.45989,3.08144,3.74746,5.48869,14.2652,4.08768,5.69257,3.82056
797.70748,1685.9025,377.21132,557.01996,411.63966,1073.8881,8586.7247,658.21015,1346.4628,652.53478
2952.30997,4176.8316,1899.55201,1671.46296,1447.71429,3678.15931,16317.6587,2767.20119,3289.97401,2376.29587
11.0949,12.0198,10.444,3.7177,7.57131,19.8817,34.0148,12.9013,4.05497,10.6729
2.29744,2.05428,1.31863,3.64116,2.11135,2.13583,2.64853,1.7029,13.5512,5.23496
22522.6652,19057.4149,13433.982,9149.91108,12195.402,47261.2806,63983.9722,38180.0342,16075.2484,19886.2795
122.71346,196.5254,149.78751,278.80578,121.72637,190.08266,868.19729,154.21453,1173.6182,157.55075
2218262.0618,2455496.6269,1510596.7388,1588318.0878,2712644.4708,3345197.0731,4362714.462,2000419.0234,1817253.8722,5686678.262
0.24332,0.75027,0.2891,0.35024,0.30454,0.25469,3.1139,0.38622,0.52816,0.30804
1214.3792,1962.6886,1666.4354,2253.4629,1854.5394,1241.7071,5491.7939,4326.5805,7859.4806,2814.5549
43.6229,13.4477,8.35253,10.4092,6.59456,49.0813,16.9498,4.81484,22.567,6.45317
406054806.8591,246470024.2916,113360915.8544,132713869.3256,216224988.7562,361958732.4641,677708014.3413,172664508.0649,135800495.1093,497249755.4271
23925.4494,24959.1998,16756.8577,37046.1318,32646.1347,31237.9301,36940.1754,19345.9146,94799.8825,43463.6566
120.1354,89.78662,129.9988,68.86411,24.61579,130.2017,139.2447,162.7592,89.1244,43.1578
3280.79421,3913.49531,1367.74543,2190.26432,1809.08353,3585.87656,16544.035,1909.48504,6422.9059,2211.69489
186.9941,98.3632,86.57299,92.26267,70.73202,132.9823,139.6292,104.8213,255.5312,91.59339
