lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
0.75121,4.7577,1.9404,2.7511,2.9124,1.6071,-3.3847,-0.61205,-1.3797,-1.6421
7.48026,14.4511,18.7635,9.32935,9.15902,0.949229,-7.39201,-11.2196,-2.1821,-2.06634
10.354,16.5222,18.7857,18.5873,13.8373,-0.543473,-7.12931,-9.44791,-9.25758,-4.47837
-14.4041,-8.32074,-1.94732,-5.08963,-9.30772,15.1007,9.04366,2.60412,5.72582,9.86001
10.5885,6.05658,3.09729,4.22205,8.21662,-8.43275,-3.89868,-0.970336,-2.03428,-6.13831
-59.7177,-59.7177,-59.7177,-59.7177,-59.7177,30.3538,30.3538,30.3538,30.3538,30.3538
1.1015,0.85186,0.81262,0.77178,0.64016,0.46725,0.079071,-0.16144,-0.13269,-0.077028
0.928,0.60694,0.78647,0.68047,0.79825,0.11078,0.077218,0.10791,-0.018157,-0.065281
1.0556,1.0677,1.0454,1.0681,1.0711,-0.021072,-0.037552,-0.045527,-0.051709,-0.0070118
0.6583,0.17648,-0.04421,0.06452,-0.056155,0.44363,0.15484,0.43288,0.15618,0.24774
-0.12027,-1.1182,-1.5596,-1.2146,-1.6938,0.81209,0.69202,1.1404,0.65516,0.88336
0.064745,-0.34351,-1.432,-0.5786,-0.86486,0.73613,0.21071,1.1733,0.21373,0.51825
0.86482,0.44078,0.61698,0.66621,0.4429,0.30753,0.24829,-0.058411,0.04783,-0.065686
0.9674,0.70174,0.80749,0.63797,0.65351,0.35084,0.09659,-0.12238,0.044541,-0.16502
0.25542,-0.14376,2.4519,0.32679,0.75255,1.0026,0.84938,-0.75846,0.45947,0.013341
0.79028,0.38148,0.7608,0.40733,0.31859,0.66727,0.1808,-0.20365,0.11644,0.17946
-0.17906,-0.26074,1.7328,-0.28522,0.10393,0.47142,0.19885,-0.954,0.15326,-0.10262
-0.50294,-1.3028,-1.1123,-0.54147,-0.40022,0.22156,1.0373,0.74982,0.50534,0.32214
-1.7963,-2.3352,0.3553,-0.82601,-1.2003,1.029,1.5739,-0.62034,-0.079654,0.34298
3.7735,5.7989,6.5877,4.6127,4.4663,-0.36217,-2.9669,-3.4902,-1.8721,-1.6771
7.52677,12.6355,16.8954,13.9699,14.4116,0.861966,-6.0714,-10.3259,-7.44281,-7.91215
6.2588,5.0231,7.9527,3.7895,5.656,-1.7965,-1.1764,-4.3038,0.010021,-2.0322
-13.2066,-3.21546,-4.36871,-12.7217,-3.47743,11.607,1.72825,2.64205,10.6846,1.49994
1.1152,0.26388,-0.22813,0.30607,-0.14824,-0.35993,-0.089364,0.9376,-0.20737,0.29277
0.70457,0.36403,0.51564,0.30027,0.22864,0.40016,0.22381,0.13531,0.33274,-0.044684
5.85008,10.6526,12.966,10.7813,10.0211,1.55198,-4.98154,-7.20049,-5.07834,-4.34823
