pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
-0.71862,0.44997,-0.70739,-0.6238,-0.65157,-0.7471,-0.69807,0.27254,0.91068,0.25165,0.18257,0.254,0.2615,0.22323
-1.3251,-0.20663,-1.2359,-0.82777,-1.0975,-1.2287,-0.61441,0.9133,0.68234,0.8327,0.42101,0.75318,0.75471,0.26477
-0.66072,0.47396,-0.65046,-0.58094,-0.60889,-0.71509,-0.66527,0.26444,0.90397,0.2418,0.17193,0.24307,0.26685,0.22392
-0.64821,0.4958,-0.70832,-0.62738,-0.5936,-0.72144,-0.69613,0.25105,0.92116,0.21998,0.18794,0.22404,0.25344,0.22156
-0.71112,0.48284,-0.8549,-0.76278,-0.68604,-0.85581,-0.82489,0.29442,0.92788,0.27,0.24018,0.21964,0.27968,0.23654
-1.2129,-1.1708,-1.3665,-1.2328,-1.2917,-1.3179,-0.85726,1.0451,0.99882,1.1954,1.0573,1.1342,1.1631,0.81509
-0.21808,-0.46391,-0.62674,-0.59472,-0.59133,-0.58988,-0.51225,0.96705,0.79392,0.58823,0.4078,0.46884,0.55152,0.44738
3.2268,4.3561,6.8173,7.5899,4.0634,4.7852,5.9395,0.47314,-0.75348,-3.4536,-4.0858,-0.6615,-1.3448,-2.7037
2.682,2.6532,2.485,2.4985,2.8348,2.7442,2.5278,-0.89972,-0.8937,-0.69268,-0.63782,-1.126,-1.0122,-0.8614
1.2986,1.3548,1.4125,1.0014,1.125,1.3264,1.001,-0.16484,-0.36061,-0.2637,0.10252,-0.243,-0.36019,0.011772
-30.0921,-26.908,-14.898,-12.9459,-34.2185,-30.9534,-25.2966,17.0612,13.8842,1.82615,0.0718037,21.2601,17.776,12.1555
-4.9157,0.89263,0.72591,0.7989,0.74158,0.52481,0.2551,0.062595,0.44895,-0.020035,-0.019989,-0.020443,0.0059287,-0.022208
7.08526,8.20638,10.0511,9.16037,9.10648,9.73058,9.54787,-2.03709,-3.63866,-5.43814,-4.66531,-4.32269,-5.25617,-5.02338
1.0016,1.5117,1.0923,0.97094,1.0399,1.0366,0.89195,-0.33903,0.22684,-0.48088,-0.41997,-0.45463,-0.45382,-0.24954
0.96272,1.5632,1.0708,0.98029,0.98612,1.0035,0.90575,-0.37059,0.25817,-0.51882,-0.48257,-0.46046,-0.49986,-0.31943
1.0796,1.6477,1.1378,1.0941,1.1373,1.0976,0.99701,-0.44596,0.27613,-0.55872,-0.57465,-0.58218,-0.5815,-0.42234
-1.5314,-1.0186,-1.7695,-1.821,-1.688,-1.842,-1.9147,0.92305,0.95724,0.8156,0.81248,0.86051,0.70253,0.81391
-0.81548,0.061187,-0.97054,-1.0005,-0.7888,-0.91119,-0.86243,0.45027,0.79714,0.4386,0.42129,0.38,0.32672,0.29549
-1.9915,-1.463,-2.3605,-2.1954,-2.3123,-2.2579,-2.269,1.2244,1.2612,1.3573,1.0073,1.1993,1.102,1.1228
-2.1498,-1.0302,-2.3292,-2.2312,-2.2025,-2.2465,-2.1725,1.1275,1.2214,1.2256,0.98693,1.0739,1.0383,0.98493
-1.1448,-0.28624,-1.5766,-1.4856,-0.91506,-1.2599,-1.4349,0.63396,0.74674,0.57352,0.57067,0.378,0.39271,0.5016
-2.8464,-1.602,-3.0318,-2.7038,-2.8521,-2.7902,-2.566,1.6598,1.3367,1.699,1.3299,1.5758,1.4195,1.2479
-0.67134,0.25447,-0.70719,-0.64416,-0.65819,-0.84417,-0.55347,0.50192,0.78973,0.38737,0.33486,0.41982,0.48246,0.29322
-2.5124,-2.8287,-3.625,-3.518,-3.1732,-3.1889,-3.2596,1.5231,1.4229,2.2698,2.0181,1.7896,1.6735,1.7681
4.2454,1.5861,1.3141,1.7478,3.671,3.1583,2.3598,-2.3204,0.9237,0.44846,0.021958,-1.8359,-1.4292,-0.64053
6.6136,3.0344,4.589,4.3905,4.9534,5.106,5.0664,-4.0148,0.72987,-2.0653,-1.7488,-2.1672,-2.5806,-2.5864
2.8698,1.8346,0.64036,0.4777,1.241,0.38556,0.217,-2.7745,-0.22412,-0.79699,-0.048896,-0.17416,-0.49625,-0.45675
-0.64117,0.33277,-0.59605,-0.49755,-0.58167,-0.70881,-0.58408,0.39294,0.83875,0.33371,0.28697,0.44118,0.46286,0.31887
-0.64577,0.49142,-0.58863,-0.55877,-0.59894,-0.6685,-0.61349,0.24799,0.89642,0.20659,0.14603,0.18855,0.18917,0.18925
-0.6491,0.48366,-0.66677,-0.57608,-0.58781,-0.69289,-0.64665,0.27172,0.88509,0.26102,0.17494,0.23031,0.26179,0.22601
1.3457,1.8308,1.4436,1.2937,1.4699,1.4005,1.2738,-0.57303,0.64863,-0.80069,-0.61539,-0.73514,-0.7792,-0.67721
-0.81596,0.26409,-0.80113,-0.71043,-0.76938,-0.87917,-0.74152,0.42934,0.90225,0.40855,0.3302,0.44613,0.47269,0.32
