pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
12443.3199,80637.3619,8760.51613,11949.2005,17037.6525,10864.4665,9603.59023,16213.4953,94492.5632,13244.8299,21190.1711,39335.5233,18883.0553,14671.4081
8.94609,13.496,5.88602,4.44814,4.23787,4.29185,10.0856,34.6815,17.9704,10.2804,6.13222,7.20771,7.40636,21.6086
117.3205,772.0397,80.66684,112.7416,151.8838,84.75336,89.71131,146.0739,870.8486,125.5443,191.5048,331.9307,149.9733,140.8296
5927723.92105,23853357.1553,2781456.13749,3534843.12636,4419072.96679,2674676.15641,2679269.90247,20807834.085,27133477.411,4639200.79558,5825186.55554,8015378.10255,5691291.0406,3599333.15327
349081.93804,1541518.331,248376.60762,235061.00313,332445.41924,114170.5141,223344.38878,713102.87855,1684170.2253,540354.8632,280633.1121,536511.08142,344154.88733,517927.78345
72.36963,45.16998,86.25863,19.87991,14.4612,49.87324,102.023,439.0766,181.7243,388.1966,103.1322,49.64319,184.1678,413.9353
0.0030568,0.0024407,0.0019772,0.0011751,0.0019932,0.0013169,0.0015344,0.0061387,0.0046971,0.0036658,0.0022043,0.0037298,0.0017387,0.0025595
0.19444,0.21859,0.10992,0.12641,0.11566,0.15363,0.19274,0.4377,0.60577,0.19275,0.22296,0.292,0.29589,0.42138
0.26994,0.46177,0.12649,0.12211,0.11687,0.13976,0.24093,0.54481,2.1068,0.1921,0.18139,0.20111,0.26984,0.50435
6.56867,11.5383,3.68142,3.96192,4.23833,3.22052,6.2273,9.73308,41.8497,4.59351,5.71238,7.18651,6.30604,8.90838
0.060814,0.075188,0.048277,0.065811,0.06217,0.070701,0.056185,0.1147,0.12991,0.05346,0.073998,0.17027,0.13796,0.12031
47726339097.40338,72854459494.99971,7960226031.27753,14212027158.59947,5724903193.283716,7716398566.479038,2856392738.048746,267718410463.7439,303106866862.8972,23871206286.05683,55202605594.27383,19594439073.69249,21525723521.314,8190592931.098292
0.27549,0.29433,0.29284,0.29343,0.34698,0.27134,0.27848,0.32846,0.69754,0.56941,0.61135,0.46044,0.52262,0.70961
3.67372,10.599,2.45194,2.00544,2.11466,3.35958,3.65695,10.3168,13.5373,4.96964,2.58149,2.63876,7.11106,3.98301
5.26361,11.0344,2.68992,2.53564,2.0535,3.44233,3.74664,18.9149,13.402,4.16165,3.38323,2.35789,8.28599,4.02946
3.44013,10.8901,2.69229,2.17662,2.49558,2.96361,4.83692,6.36932,12.9497,5.65773,2.99916,4.02371,9.99866,11.905
194.4055,425.9713,162.7554,133.1585,151.7135,192.3822,134.0502,275.0111,623.6068,256.1216,197.7859,232.7727,451.3976,181.0465
895.28308,2271.1795,696.07246,643.95796,620.34026,932.81684,560.56158,965.45861,3409.9104,1499.6538,1190.9953,912.72061,1633.8912,651.61444
4.42022,13.2711,2.51677,2.32302,2.38264,2.72764,3.26846,4.90559,19.4377,3.38297,2.50851,3.14367,3.68763,6.21011
0.76673,1.2996,0.35257,0.24205,0.30657,0.37989,0.30105,1.9932,1.6587,0.58861,0.32756,0.43343,0.7146,0.33081
512.7561,704.633,326.2936,402.2342,353.0717,358.3856,322.4018,964.621,771.706,501.8343,650.4676,555.6821,598.2383,709.5521
43.75352,69.57313,24.03758,20.4052,28.92484,31.2406,31.90053,68.67094,108.3952,24.18287,22.31078,51.3734,43.72016,70.16798
55247.78328,82451.71509,37878.01354,27117.18694,23214.78495,25564.04224,29676.88075,135795.8748,90369.29378,70720.84471,35196.12385,27657.92369,34172.46446,26708.31281
0.13858,0.17591,0.12686,0.1072,0.10605,0.10768,0.11161,0.22009,0.39713,0.20939,0.1888,0.12911,0.17037,0.29692
613.41808,909.21005,372.62684,451.5843,452.91474,486.10153,367.84755,1170.3018,1346.7597,409.9559,635.11853,853.96235,1110.2146,529.4159
0.0016459,0.0056773,0.001089,0.0016681,0.0024282,0.002453,0.0008359,0.0030528,0.0082889,0.0017976,0.0017621,0.0031358,0.0083151,0.0010426
0.0098418,0.044374,0.01651,0.01534,0.028273,0.012304,0.024183,0.014208,0.11686,0.043044,0.026515,0.064533,0.03572,0.079124
43.80438,101.2558,24.86115,24.07669,21.6024,13.17156,18.57695,161.8075,117.6733,54.46395,38.58886,34.91948,19.86462,24.95993
43350375.41783,293627997.8171,21762424.86999,34388315.78292,50349724.36654,36703547.64275,28088980.59732,59379270.31758,337341051.0298,35193974.1876,61770758.29743,97594306.656,78124162.30479,54004091.95842
12237.8968,81680.5511,8745.53439,10825.6034,14920.9866,11097.3787,9885.32022,15750.7399,94628.2477,13475.8086,19872.8733,30325.9243,22358.2164,14758.5029
48.80554,236.9626,18.28388,33.62655,102.5245,21.81412,9.752012,70.90488,270.6272,40.93312,64.19847,385.3816,63.5368,17.08941
4406.42248,10153.9822,2855.42186,2207.62431,3520.18072,2636.79722,2163.59471,14459.1791,10366.7173,6946.20385,2791.22606,8329.89791,8406.37,4124.39461
161.7499,480.2195,109.0607,90.22702,91.83395,75.61693,124.5532,441.7624,538.5992,241.4494,123.7498,139.9902,103.9994,189.3005
