lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
71728.8995,20663.487,18570.9659,14728.258,7537.77289,34169.5546,15611.2307,18380.9416,13565.9885,6587.81274
6.432,1.2767,4.0943,0.99011,0.84882,5.096,1.611,3.8367,1.2568,1.2255
613.6579,201.0117,144.4251,192.1894,64.7651,419.6491,162.2631,129.1171,156.9967,48.49697
4084706.1295,2458504.4878,6906354.9206,2296577.9809,2567653.4716,3647904.0657,1828861.937,4781063.1323,1728777.4886,1721474.523
230865.4341,221197.4302,371149.5114,179058.922,207572.2464,183798.103,154831.9897,271627.3215,139302.1078,146221.2135
0,0,4.0927e-15,0,4.0927e-15,0,0,2.894e-14,0,2.894e-14
40.60859,15.3109,2.147015,26.4755,4.680838,153.0226,80.67811,9.72397,114.9157,17.91801
117.1692,65.25353,90.21129,80.94523,54.28574,314.6634,96.10964,225.2429,226.8724,61.61566
2.417216815946091e+19,5.970788482249628e+18,5.025758651004767e+18,2.415412758739131e+19,5.806728609828896e+18,1.27016533015721e+20,3.517404399610529e+19,3.510534346620927e+19,1.270339650263197e+20,3.176430260908662e+19
2.517,2.244,3.0004,2.6761,1.8553,2.0989,1.3227,1.9036,2.609,1.4128
3.2042,2.1162,2.9188,2.4505,1.9558,2.1864,1.6785,2.1378,1.5727,1.1668
2.959,2.441,2.7089,2.6724,1.954,2.0124,1.5287,2.1475,2.0945,1.2872
794.7811,480.1391,189.9151,387.6234,74.59384,627.5501,425.9161,256.5566,593.8363,106.6002
3438.7682,2236.4114,998.39331,1445.9019,563.09164,2401.6375,2049.1061,1541.7103,2211.9218,657.30489
5.3019,2.1496,6.9714,1.7657,1.8429,4.0041,2.579,4.1484,2.1515,2.444
1.5584,0.76965,0.69005,0.58572,0.32814,0.73878,0.42213,0.43566,0.62128,0.30594
55.115,41.0732,66.3862,33.3989,32.6934,35.6881,31.8514,39.9212,20.7132,22.8077
1307942.5398,628202.80477,482358.20162,602523.23663,661942.96492,642389.18584,607344.25919,530237.08144,563974.07098,671649.71116
0.15772,0.13651,0.15357,0.12041,0.085275,0.10984,0.096399,0.10444,0.092596,0.065016
62.5039,19.0109,16.1683,5.80274,3.42503,42.5733,14.5935,9.4278,4.54139,2.82439
302408710.8828,110689168.7368,71038062.81082,70093994.35596,33970633.31495,128321119.7307,91038927.79264,68090420.51895,71207344.37868,33596035.37889
20117.6784,12597.1992,18704.7648,13700.3904,8141.2236,19750.2367,13531.7658,19559.2992,9961.63697,6082.29916
59.07281,32.61769,24.53383,36.93375,3.69631,142.0341,65.52043,63.74869,88.1509,5.822839
4409.0259,1308.9021,1243.3899,827.94853,623.15839,2664.2803,930.90027,938.14542,691.49449,535.0116
95.7863,43.7719,60.8913,32.9266,21.35,50.2486,28.7417,47.0976,24.7849,16.1322
