pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
27909.8056,52953.3508,9511.07945,10878.3795,13868.3603,6226.26442,12078.739,32545.3241,40528.1651,19256.1692,23262.2722,22864.3034,11813.0014,17141.0822
2.4779,4.8906,2.8136,1.7456,3.2598,2.2673,3.0248,5.7554,6.6143,5.5432,3.7157,7.4179,6.2718,7.1343
249.476,474.7563,78.69809,91.79006,120.2172,52.85582,112.2119,288.2105,369.6402,168.1519,203.4965,199.8524,97.67863,158.8524
6986095.16499,15098550.5294,2990124.33049,2888842.48603,4035234.46565,1963370.63414,3030320.04571,8198089.64884,11744375.0979,4959232.247,4930533.71147,6045635.23307,3929741.10503,4787369.44531
497210.2414,967948.6113,166418.3126,227900.7974,328885.8699,115388.0808,193649.6864,505666.1387,709653.0809,262209.7558,241209.3502,367839.716,239371.4595,308289.888
30.4588,32.68091,36.06302,9.654867,21.93235,52.75216,53.84487,98.33201,116.3178,146.7955,33.48843,56.69345,171.7086,181.8586
0.029182,0.022089,0.0048538,0.00099336,0.00097339,0.004372,0.0040021,0.16959,0.13489,0.020116,0.0014745,0.0014703,0.021953,0.022013
0.92886,0.3117,0.51432,0.092759,0.073217,0.34121,0.32811,5.5751,1.2275,2.3497,0.11762,0.22271,1.839,1.8231
0.30484,0.33398,0.28433,0.15221,0.29344,0.16228,0.2076,1.1072,0.97736,1.1592,0.41599,1.1899,0.56727,0.75961
15.3048,8.65741,8.00827,2.80704,2.83627,3.59545,4.0839,61.0236,24.866,36.0098,4.71145,7.47512,10.776,11.4082
0.094302,0.055833,0.0306,0.069992,0.079687,0.037364,0.03758,0.2783,0.14851,0.036575,0.26661,0.28563,0.095936,0.078481
6123129777102.494,6093541127590.863,19128368897169.34,865111597094.5361,15579932524.68677,18254430538946.21,6601896154.952514,42848505222598.76,42854155439493.06,135089699399148.6,6072860094106.459,91637741068.7784,129018091831595.1,20888974730.53951
0.37567,0.11054,0.13628,0.22863,0.2933,0.1148,0.14627,0.52169,0.1859,0.1707,0.40902,0.51631,0.18716,0.21544
3.5603,4.9247,1.1973,1.229,1.7677,1.0559,2.166,3.9256,4.7786,2.0567,1.9374,2.8368,1.8688,2.7638
4.0235,5.3208,1.8026,1.2949,1.8096,1.185,2.3015,4.6113,4.8075,2.591,2.0311,2.9014,1.902,2.9483
4.0104,5.3859,1.7214,1.2838,1.8773,1.2327,2.1285,4.4217,5.1601,2.6496,1.9443,2.8683,2.2068,2.8524
243.0248,154.5257,90.283,85.32284,78.82389,68.53839,111.0006,220.0196,127.934,143.7938,105.9946,108.722,90.97873,131.8344
1096.6982,1202.1074,477.90513,373.77065,321.72679,342.16598,542.905,1016.7858,935.96152,874.19168,473.54069,349.15151,522.98133,648.17962
8.34729,5.89327,2.20023,2.21479,3.05077,2.24963,2.79955,11.4117,5.00629,3.902,3.97313,5.86475,5.0884,5.37609
0.70047,0.6255,0.23739,0.21933,0.23449,0.19835,0.26628,0.7777,0.50331,0.3936,0.31301,0.32172,0.31283,0.32022
566.6138,504.8097,240.5587,275.1486,300.9203,196.8229,254.6005,893.9236,556.453,398.2835,287.3507,331.5008,249.7508,314.6969
39.1838,30.1726,16.3348,16.9672,13.853,12.1778,19.2516,42.7637,26.8419,18.883,16.1525,16.8121,12.4022,20.2151
37600.5195,46287.7859,23671.2545,19962.1753,19109.4929,14857.8582,22028.0716,45470.3716,41987.5252,30314.1067,24443.0354,28442.4716,16455.4622,24258.5269
0.1764,0.064067,0.075247,0.071808,0.066184,0.075109,0.080805,0.23323,0.051003,0.11788,0.090216,0.096472,0.13759,0.13227
479.9346,477.9021,224.9722,230.2693,269.0418,214.2158,199.263,589.8922,390.976,219.8478,207.337,362.1859,172.128,202.0942
0.001529,0.0026945,0.00058393,0.00088873,0.0013755,0.00066902,0.00071685,0.0026312,0.0025801,0.0010804,0.0012216,0.0019719,0.0015715,0.0014648
0.013565,0.01939,0.0050601,0.011335,0.014244,0.0090036,0.0072051,0.032973,0.02841,0.010635,0.029251,0.036517,0.024928,0.022817
20.1814,54.0332,14.9973,11.8346,16.0818,11.576,16.4231,27.4629,52.1177,30.2553,23.9133,27.8425,26.0909,29.744
101889629.8289,179415112.6993,30970164.40477,49183427.07047,55091747.47264,19089725.18906,40697420.91393,114195909.2675,134668275.9762,58134654.5639,109319301.1137,90451966.19587,25185391.09437,63626504.70639
27926.5032,52556.1912,9350.064,10771.9956,14511.6144,7124.9508,12156.2928,31448.7938,40858.223,18455.1257,23801.7318,22879.5255,11824.8155,16670.2798
129.6361,158.3071,30.63662,74.31186,83.38386,37.69706,31.14879,147.5389,115.1547,70.91271,82.57434,126.9615,99.59216,95.60325
2888.1723,5387.7999,1331.241,1120.0297,2033.374,580.84579,1016.0307,3179.4748,4559.6761,2459.0132,1521.7236,2654.1471,843.71692,1768.9548
142.1446,265.1223,81.43902,60.26609,89.08232,40.2909,81.76981,171.9368,218.5623,126.8509,95.62243,131.1842,59.94444,103.148
