lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
53198.73587,44390.29941,47372.74541,44074.96219,25889.0701,106438.5986,114262.3485,123814.9147,163630.3421,108688.895
4928871689322.984,1694943563261.954,10989088423787.09,1533963671706.389,504147267397.5878,54256210584031.69,14900286067137.64,129625113405283.1,17150811083100.97,4520507993912.889
563653.93368,635766.49655,756508.84821,478448.06601,743077.54794,1653838.6515,2209689.9812,2541308.6934,1295257.8298,3445817.5719
113.7688,56.2053,58.8333,75.25554,41.00489,133.4648,107.3098,196.9827,397.7742,103.5613
31948516.4161,28337131.52625,56038438.95752,33510094.18477,44726138.51665,86954035.45468,108910910.7426,345561153.0302,112755474.4252,272047296.5555
64271.73,49119.93732,56065.92873,62900.71431,40399.07023,165775.6663,124931.6268,111187.7415,313241.3972,116389.1881
31.27636,30.84081,47.82031,37.09688,44.07843,63.51885,69.83474,171.583,163.3002,136.4875
9765.799468,7045.65902,13634.26449,10331.35341,16557.48651,14577.00829,10015.84806,50104.58187,35277.60965,122164.0623
257.61949,235.31574,433.71461,220.76804,300.1245,507.72879,512.1484,1995.8331,458.78174,1106.9339
19.85326,16.98858,42.79643,10.62216,46.19139,48.7446,74.95609,206.9806,24.60497,434.8891
1380.0702,831.22075,1039.5564,1052.4007,546.26564,3353.1955,3308.2835,2829.669,3163.6736,1265.4747
50055080.93139,32014198.86197,66343027.09511,53468924.55971,46454469.67784,126263145.2749,60332428.53496,242265666.7738,261528881.0015,164145289.9909
3849155.27751,2471520.49823,3620338.43125,5163322.70611,4485011.82113,11127903.7575,4524257.01487,7986462.36461,34221858.6464,25320110.1742
0,2.15102e-11,4.02077,0,0,0,2.79476e-10,52.4244,0,0
0.18748,0.16323,0.54586,0.14306,0.24666,0.93273,0.87639,4.1556,0.64824,1.9947
0.0031654,0.0040496,0.0026365,0.00355,0.0013253,0.026471,0.039722,0.024354,0.035745,0.0095809
22.2115,14.62996,16.38611,12.19846,14.56326,120.3186,78.26744,90.78881,68.9538,70.60932
29.23791,49.65926,66.47923,26.37932,44.17059,121.5293,186.6935,250.7616,99.45286,174.4064
31.15311,41.38073,27.20047,27.08866,14.77428,143.6249,238.5502,149.2123,159.2536,30.96011
31.90259,47.03822,27.72453,22.73623,48.19484,140.4701,195.7227,88.2959,52.76331,184.9346
