pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
46062.31948,94634.24395,56353.99024,38184.46547,47985.89125,47063.74457,34546.76346,90621.64015,133103.2401,153413.2721,76865.12467,169073.5361,169014.985,84688.95684
13737914878.23225,234932046922.76,16866816804.9264,346720929456.1378,23859638031.74476,2120611941886.17,313774153131.6798,52944637171.58204,2109861464326.276,57406112713.47722,2878980601505.229,140580663157.8282,23288128646498.17,3266251315672.595
180566.1861,182384.863,97291.75189,115874.1854,157180.4159,173954.4827,139910.0794,480686.4823,361722.0298,140576.2423,222870.4954,450462.6057,635395.4138,566579.5953
55.69535,143.1918,39.27875,66.37068,60.48815,56.34215,62.84136,127.2502,283.4002,63.44659,111.7945,134.0739,98.12914,212.6827
190975312.39467,473534107.2675,155199924.78784,228916823.42706,154743313.46349,336412998.88154,94843454.837317,659995327.93012,1094776100.1659,518774389.51763,530577221.87508,372038088.96804,2344026129.9503,174841001.59255
52041.79012,137001.2242,24179.61311,48540.8765,51019.18979,52492.3416,28841.19571,214659.8408,306757.1143,53605.91823,95456.5898,232234.1213,183949.055,60389.88707
115.1038,330.8334,74.82734,119.6944,195.7942,124.3754,77.81812,347.0616,726.0215,223.3334,293.1413,971.9463,408.1969,158.2491
7215.28187,16141.5562,5500.52755,6380.22141,7772.82703,16867.9593,13646.9856,14018.5595,32405.098,8890.35278,11156.7198,28141.0689,57207.6263,78963.6128
474.49827,719.54712,271.26366,292.1535,402.61128,859.59991,759.62991,1493.9172,1359.9725,565.12201,424.91698,1629.569,3920.9063,6003.5102
11.4515,14.9862,15.5074,8.47439,17.4314,16.2339,13.2576,29.4666,24.6469,66.6184,17.416,88.7217,65.8476,29.8928
487.22548,1048.9716,239.57237,396.78488,389.95139,518.3102,325.41504,2513.1388,2228.6272,489.94486,653.97607,885.81939,1979.231,1109.3662
15240657.7101,32634645.136,6580071.44975,11630284.0447,11567372.4204,9970351.39775,6744400.22729,48600594.1538,63616513.6921,18717715.9136,24417429.3896,47963450.4331,23226402.9147,20468999.5291
965190.361762,2311291.60069,673225.529468,832136.434758,1708979.14194,1162113.34253,769745.548088,2132567.36389,4349150.01328,2392310.20154,1871908.10337,11101857.6288,4290052.91668,1964800.11204
87.76922,26.18226,61.11799,41.72182,34.57134,59.48953,62.49992,485.7493,281.8173,429.7256,273.8249,250.0276,308.7639,614.7803
0.010137,0.0074887,0.0070669,0.0058806,0.0056646,0.0077094,0.0081311,0.043905,0.026721,0.025771,0.012965,0.018219,0.028075,0.025602
0.37717,0.58159,0.50788,0.50083,0.68273,0.81552,0.38269,0.68719,1.6533,1.3423,1.5045,2.3719,2.1765,0.8445
0.811821,0.728383,0.890528,0.540371,0.590675,3.95945,0.501721,2.07256,1.39817,3.43047,0.817594,1.0276,26.8159,1.46912
23.97937,20.7643,19.8748,19.99036,17.69485,56.52489,18.92983,70.79523,44.13587,67.66879,44.86252,45.88086,241.8252,47.92601
0.46374,0.37169,0.31247,0.28578,0.32673,0.555,0.24099,2.8611,0.95412,0.84162,0.52751,0.777,2.1351,0.70119
1.77478,1.49759,1.37708,1.2992,2.19262,2.66013,2.46231,4.34192,3.80788,4.24997,2.10812,7.2052,10.1855,14.4274
11.1916,16.5505,7.26228,9.38568,11.6578,14.0974,12.6381,35.3487,27.8833,13.5324,19.2489,37.3611,42.43,30.2486
16.95625,15.45817,11.38484,8.70062,14.7631,21.61826,22.22816,59.16162,22.25068,36.27656,12.40092,90.45366,98.7045,137.3417
11.3785,14.206,10.4475,8.20284,9.72802,17.7868,17.4745,24.4386,17.631,26.5872,13.0651,26.5486,71.8849,74.592
