pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
14435.5855,79837.674,13268.8542,15672.0991,14404.6661,11040.0571,13037.2414,19033.391,38405.4225,20732.3987,21596.8524,17941.0776,17928.6348,15859.9333
14897964339.80454,43336376565.44571,19841099599.78727,59104713410.57783,15954802552.55864,72497274181.95735,8616783519.738567,77414091506.29623,306744051224.553,90233998225.84871,360205883715.4011,73872164879.60927,521861821856.4951,32859444661.72379
41356.8069,79949.3043,39164.762,37112.9268,36733.2387,33704.7785,40430.8278,56774.23,58630.3139,40211.0526,30990.8966,30223.821,30386.8424,43815.6213
20.542,99.5582,15.9274,36.5664,26.2738,13.7577,22.8038,27.5645,52.4057,23.5036,44.1181,33.6705,17.5785,31.7258
61112004.14639,275526170.1534,48008213.42693,68035708.36901,59340756.83931,43122021.1258,48560268.96824,77029649.79858,125826640.2613,85633169.60981,87372731.82613,72977610.36064,74549846.04068,76658618.40761
14698.6426,83842.7923,12915.2318,20787.2149,17027.759,9754.21692,13316.4579,18687.8482,35188.1231,21076.2198,25950.2269,21886.7863,14102.3241,20040.8491
64.54831,220.8889,33.51165,55.64891,47.20267,26.4235,34.78502,93.03248,118.43,51.50459,97.23179,96.1564,42.26423,83.16463
2323.3989,8995.8447,1839.2491,3001.9315,2685.8649,1902.6852,1876.6383,2339.0828,4731.527,2052.0117,3147.4219,2592.2851,2307.0666,2017.0043
104.4555,451.2475,89.68169,144.8198,133.8914,81.76721,113.8953,107.4102,223.5556,118.8909,168.5923,131.6942,74.7414,129.8834
3.5274,9.2286,3.5315,6.2397,3.627,3.9245,6.4633,5.8289,9.7081,6.1542,8.7162,5.8232,6.4223,9.3936
143.0753,732.5464,112.3059,188.5652,159.7235,111.3022,122.3845,171.7326,317.9426,178.1276,223.0273,194.6224,137.6832,168.5772
4168160.36821,23773875.5066,3460187.89931,6222868.15702,5077048.67491,2081775.3973,3611040.58209,5209253.22787,10117298.4716,4582513.03721,7278625.46858,6081175.57324,2684655.82136,4568660.06774
314037.99387,1439814.2751,260029.99206,354919.22258,357168.86442,180141.134,221896.65881,301427.70155,685623.0573,247104.19218,369560.35282,305911.21086,191924.70619,228683.90849
67.70701,71.85289,14.94419,33.76909,0.2811211,33.05299,47.8732,245.6574,249.9645,119.1855,170.1524,2.666891,169.419,200.5793
0.002265,0.0024165,0.001839,0.0019189,0.0018654,0.0020569,0.0036308,0.0036599,0.0035997,0.0027115,0.0027177,0.003629,0.0037872,0.021194
0.20517,0.18129,0.14829,0.14854,0.098971,0.10928,0.18276,0.31037,0.2327,0.24064,0.20016,0.16941,0.1597,0.32884
0.38898,0.52753,0.30798,0.38979,0.2529,0.20347,0.27694,1.8522,2.1769,1.8375,2.0688,1.1096,0.59449,0.73344
7.7218,6.17469,4.07662,6.53202,4.61625,4.71455,6.12285,13.0927,12.0459,6.7535,11.0911,5.53597,6.20629,9.91086
0.076942,0.089629,0.069317,0.090962,0.067074,0.069586,0.089892,0.077202,0.093965,0.073083,0.094591,0.071142,0.073213,0.33291
0.40723,0.37793,0.36252,0.32601,0.36422,0.29377,0.34206,0.32678,0.29406,0.28844,0.2437,0.2901,0.26597,0.38263
3.6084,8.7905,2.793,3.4137,2.915,2.8779,3.6884,3.9576,5.2381,2.8502,3.9583,3.1784,3.41,4.0201
3.829,8.8747,2.9686,3.1958,2.939,2.7622,3.7372,3.9464,5.8131,3.2549,3.4712,3.2305,3.1143,4.009
3.3531,9.3571,3.1645,3.3307,3.2677,3.1255,3.6666,3.8243,5.8061,3.3984,3.783,3.6371,3.6213,3.9281
