method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem1,10,0.1,0.1,2.4,0.6,98376.15672
Morris,CMA,Problem1,10,0.46,0.48,1.6,0.4,98087.19611
Morris,CMA,Problem1,10,0.46,0.48,4,0.2,102156.746
Morris,CMA,Problem1,10,0.46,0.48,4,0.4,96762.22503
Morris,CMA,Problem1,10,0.46,1.62,4,0.4,97546.58006
Morris,CMA,Problem1,10,0.46,1.62,4,1,101681.7852
Morris,CMA,Problem1,10,0.64,0.1,2.4,0.6,99650.32747
Morris,CMA,Problem1,10,1,0.48,1.6,0.2,97973.8777
Morris,CMA,Problem1,10,1,0.48,1.6,0.4,101027.4924
Morris,CMA,Problem1,10,1,0.48,1.6,0.8,93532.76854
Morris,CMA,Problem1,10,1,0.48,4,0.2,99353.01133
Morris,CMA,Problem1,10,1,1.62,1.6,0.8,104258.3312
Morris,CMA,Problem1,1000,0.1,0.1,0.8,0,100972.9676
Morris,CMA,Problem1,1000,0.1,0.1,0.8,0.6,98717.37697
Morris,CMA,Problem1,1000,0.1,0.1,3.2,0.6,99173.89138
Morris,CMA,Problem1,1000,0.1,0.86,0.8,0.2,98790.57305
Morris,CMA,Problem1,1000,0.1,1.24,3.2,0.6,96982.11872
Morris,CMA,Problem1,1000,0.1,2,0.8,0.2,98783.1354
Morris,CMA,Problem1,1000,0.1,2,3.2,0.2,97516.79842
Morris,CMA,Problem1,1000,0.1,2,3.2,0.8,97928.69053
Morris,CMA,Problem1,1000,0.46,0.1,4,0.6,97483.93237
Morris,CMA,Problem1,1000,1,0.1,4,0.6,100736.654
Morris,CMA,Problem1,1000,1,1.24,4,0.6,101004.2419
Morris,CMA,Problem1,208,0.1,1.24,2.4,1,94964.43592
Morris,CMA,Problem1,208,0.28,0.86,1.6,0.6,101585.1896
Morris,CMA,Problem1,208,0.28,2,1.6,0.6,98812.2133
Morris,CMA,Problem1,208,0.28,2,3.2,0,97618.97
Morris,CMA,Problem1,208,0.28,2,3.2,0.6,98514.7923
Morris,CMA,Problem1,208,0.82,0.86,1.6,0,98196.06841
Morris,CMA,Problem1,208,0.82,0.86,1.6,0.6,100961.5019
Morris,CMA,Problem1,208,0.82,0.86,4,0,105727.913
Morris,CMA,Problem1,208,0.82,2,1.6,0.6,100259.1661
Morris,CMA,Problem1,406,0.1,0.86,0.8,0.2,106476.4566
Morris,CMA,Problem1,406,0.1,1.24,3.2,0.6,103622.9688
Morris,CMA,Problem1,406,0.64,0.86,0.8,0.2,100530.6215
Morris,CMA,Problem1,406,0.64,1.24,3.2,0.6,99111.38957
Morris,CMA,Problem1,406,1,1.24,1.6,0,98100.52659
Morris,CMA,Problem1,406,1,1.24,4,0,94635.4443
Morris,CMA,Problem1,406,1,1.24,4,0.6,100092.8459
Morris,CMA,Problem1,604,0.64,0.1,2.4,0,98309.40876
Morris,CMA,Problem1,604,0.64,0.1,2.4,0.6,98646.11704
Morris,CMA,Problem1,604,0.64,1.24,0,0,100527.8767
Morris,CMA,Problem1,604,0.64,1.24,2.4,0,94255.64836
Morris,CMA,Problem1,604,1,0.48,1.6,0.4,101145.1174
Morris,CMA,Problem1,604,1,1.62,1.6,0.8,104474.5578
Morris,CMA,Problem1,802,0.1,0.1,0,0.4,98078.93466
Morris,CMA,Problem1,802,0.1,1.24,0,0.4,101493.643
Morris,CMA,Problem1,802,0.1,1.24,2.4,0.4,99226.52542
Morris,CMA,Problem1,802,0.1,1.24,2.4,1,96238.31111
Morris,CMA,Problem1,802,0.28,0.86,0.8,0.6,94898.93497
Morris,CMA,Problem1,802,0.28,2,0.8,0.6,104662.5852
Morris,CMA,Problem1,802,0.28,2,3.2,0.6,99597.16101
Morris,CMA,Problem1,802,0.64,0.1,0,0.4,101917.8916
Morris,CMA,Problem1,802,0.82,0.86,0.8,0.6,96762.58699
Morris,CMA,Problem1,802,0.82,0.86,1.6,0.6,97814.39556
Morris,CMA,Problem1,802,0.82,0.86,4,0,99463.26962
Morris,CMA,Problem1,802,0.82,0.86,4,0.6,95098.699
Morris,CMA,Problem1,802,0.82,2,1.6,0.6,98594.80812
Morris,CMA,Problem1,802,0.82,2,4,0,100355.6499
Morris,CMA,Problem2,10,0.1,0.1,2.4,0.6,7.76E+21
Morris,CMA,Problem2,10,0.46,0.48,1.6,0.4,9.96E+18
Morris,CMA,Problem2,10,0.46,0.48,4,0.2,1.84E+19
Morris,CMA,Problem2,10,0.46,0.48,4,0.4,1.02E+21
Morris,CMA,Problem2,10,0.46,1.62,4,0.4,4.34E+19
Morris,CMA,Problem2,10,0.46,1.62,4,1,9.62E+20
Morris,CMA,Problem2,10,0.64,0.1,2.4,0.6,7.86E+19
Morris,CMA,Problem2,10,1,0.48,1.6,0.2,7.45E+20
Morris,CMA,Problem2,10,1,0.48,1.6,0.4,1.13E+21
Morris,CMA,Problem2,10,1,0.48,1.6,0.8,1.93E+21
Morris,CMA,Problem2,10,1,0.48,4,0.2,6.87E+20
Morris,CMA,Problem2,10,1,1.62,1.6,0.8,1.55E+20
Morris,CMA,Problem2,1000,0.1,0.1,0.8,0,3.59E+19
Morris,CMA,Problem2,1000,0.1,0.1,0.8,0.6,8.27E+20
Morris,CMA,Problem2,1000,0.1,0.1,3.2,0.6,2.01E+18
Morris,CMA,Problem2,1000,0.1,0.86,0.8,0.2,2.03E+19
Morris,CMA,Problem2,1000,0.1,1.24,3.2,0.6,3.20E+20
Morris,CMA,Problem2,1000,0.1,2,0.8,0.2,5.66E+20
Morris,CMA,Problem2,1000,0.1,2,3.2,0.2,3.71E+19
Morris,CMA,Problem2,1000,0.1,2,3.2,0.8,1.01E+21
Morris,CMA,Problem2,1000,0.46,0.1,4,0.6,8.32E+19
Morris,CMA,Problem2,1000,1,0.1,4,0.6,4.95E+20
Morris,CMA,Problem2,1000,1,1.24,4,0.6,7.04E+18
Morris,CMA,Problem2,208,0.1,1.24,2.4,1,1.36E+19
Morris,CMA,Problem2,208,0.28,0.86,1.6,0.6,9.51E+19
Morris,CMA,Problem2,208,0.28,2,1.6,0.6,9.72E+19
Morris,CMA,Problem2,208,0.28,2,3.2,0,2.69E+19
Morris,CMA,Problem2,208,0.28,2,3.2,0.6,2.53E+20
Morris,CMA,Problem2,208,0.82,0.86,1.6,0,1.34E+20
Morris,CMA,Problem2,208,0.82,0.86,1.6,0.6,1.40E+21
Morris,CMA,Problem2,208,0.82,0.86,4,0,9.74E+18
Morris,CMA,Problem2,208,0.82,2,1.6,0.6,4.66E+19
Morris,CMA,Problem2,406,0.1,0.86,0.8,0.2,1.25E+20
Morris,CMA,Problem2,406,0.1,1.24,3.2,0.6,1.47E+18
Morris,CMA,Problem2,406,0.64,0.86,0.8,0.2,1.85E+19
Morris,CMA,Problem2,406,0.64,1.24,3.2,0.6,3.02E+19
Morris,CMA,Problem2,406,1,1.24,1.6,0,3.87E+19
Morris,CMA,Problem2,406,1,1.24,4,0,6.47E+19
Morris,CMA,Problem2,406,1,1.24,4,0.6,8.20E+19
Morris,CMA,Problem2,604,0.64,0.1,2.4,0,2.86E+19
Morris,CMA,Problem2,604,0.64,0.1,2.4,0.6,2.85E+20
