lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
38441.6589,23195.9567,23835.8624,19878.9104,6780.15482,46723.7747,31290.8886,38284.3011,32824.9613,13966.7437
14038202888051.84,200834568022643.4,230477055879568.3,2610955879651.909,17220156209176.3,180207665739516.4,2592815020024014,2606039308430895,25306729842861.52,221773010620900
304629.79378,206182.16342,292675.47509,250299.92871,211730.55485,727440.69282,652070.38341,976517.13757,1197193.1968,1087070.2681
78.7946,27.8753,26.1016,14.0807,10.2377,34.8149,22.9959,21.012,13.6581,10.1502
36041099.80495,21860626.43598,34160668.76437,17563179.32538,7044559.071898,107719887.8162,66795375.31231,92719560.22703,61871454.32816,25161792.47354
37322.7384,26837.9647,36014.6678,20034.94,8426.3651,43190.3436,33586.7431,54372.6361,34747.3402,18147.4685
13.7471,10.7907,11.7021,12.5704,7.01336,24.3354,17.0757,22.9086,19.2857,8.05877
4477.6978,2251.9625,2420.5892,2216.0338,1878.763,2717.8971,1782.717,2163.3997,1831.5815,1349.1351
95.501,59.0587,73.2023,56.5068,45.0826,71.1744,52.1349,68.3101,51.9754,42.9449
13.504,4.15719,8.73156,3.99443,4.51665,14.4854,7.91355,11.2641,6.98123,8.32459
860.8078,358.809,321.2563,359.0869,162.3238,519.8953,356.4282,363.6437,419.6697,222.0233
13823542.1627,9049587.93792,15450500.5819,8287891.82211,8884953.12538,10421114.3286,8192434.44976,12827626.0925,7221279.23255,7368250.28423
792115.34868,780897.53293,1018351.4503,775422.46031,663975.05887,666169.61367,607048.34895,725254.83655,547728.8916,593963.45273
0,0,0,0,0,0,0,0,0,0
0.079997,0.052662,0.066469,0.10782,0.057527,0.52724,0.26918,0.30648,0.56236,0.29239
0.00090492,0.28347,0.00065978,0.0020132,0.0019903,0.0036046,3.6694,0.0028876,0.018057,0.018804
19.48437,10.54177,13.32558,11.24788,23.61699,128.837,38.26674,42.48294,38.76978,118.6888
6.8018,6.7,6.8456,5.9293,6.2121,6.1849,6.2516,6.4891,6.2194,6.192
4.6603,5.2213,6.6003,5.0987,4.2377,6.208,6.3334,6.8277,6.3095,5.9384
4.4216,4.854,6.6146,5.372,5.8327,6.0528,6.2615,7.0764,6.5961,6.9098
