lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0
-0.11829,-0.92645,-0.80868,-0.3764,-1.1232,0.35813,0.31893,0.20844,-0.01451,-0.04252
-348855.854442,-146.314963792,-1.70773943175,-15001359.8431,0.0867409691809,76.6850162427,1.31373901863,0.0562501747271,0.182201003904,-0.00834536161944
0.025169,-7.5023,-3.2409,-0.51454,-2.1516,0.099027,0.47969,0.1253,0.074775,0.062613
0.70151,-0.10554,-0.0040775,-0.060922,-0.1638,0.82699,0.29831,0.14673,0.14099,0.19225
-0.24565,-1.7841,0.18294,-0.0058083,-1.7358,0.025253,0.25909,0.15021,-0.04708,-0.0093299
0.34188,-0.098185,0.22956,0.089445,-0.42152,0.27308,0.22708,0.14045,-0.02296,0.045573
36.8927,30.9963,13.4612,22.3349,23.5629,-28.7287,-23.2942,-5.54917,-13.9327,-16.0893
1.268,0.96801,0.75179,0.61736,0.68884,0.30572,-0.10089,-0.14089,0.026275,-0.2809
-0.97962,-2.108,-1.7518,-2.2626,-1.85,0.94027,1.0472,1.0465,1.1527,0.78194
0.5615,0.27205,0.61229,0.031832,0.21878,0.39828,-0.12263,0.14057,0.17762,-0.046182
0.58436,0.061575,-0.019472,0.044072,-0.1334,0.50505,0.12011,0.022841,0.14073,0.032065
0.75094,0.45986,1.1926,0.59913,0.42833,-0.12035,-0.23375,-0.11017,-0.36854,-0.20807
-0.068445,-0.14784,0.33995,0.13073,0.046334,0.46237,0.19865,0.63548,0.071929,0.25074
-Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,Inf,-Inf
0.99232,0.73537,0.65847,0.73257,0.89005,-0.023423,0.23356,0.3106,0.2738,0.11807
-343716.5127,-22181.09123,-17623.68822,-17694.5327,-17684.42201,31998.10352,4498.308232,-60.09059727,-25.46550623,-27.03217952
0.96957,0.41756,0.88437,0.37062,0.87226,0.01152,0.056805,0.096798,0.10372,0.10888
0.47117,0.55344,0.8259,0.42096,0.68738,0.20679,0.17921,0.20695,0.30839,0.27715
0.82144,0.73543,1.6332,0.993,0.66077,0.23689,0.28945,-0.34957,-0.038999,0.39973
1.0765,0.82629,1.4826,1.0394,0.93839,-0.30678,-0.04598,-0.16223,-0.18196,-0.17409
