method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,10.0,0.1,0.1,2.4,0.6,98376.15671566845,16096.004612226225
Morris,CMA,Problem1,10.0,0.46,0.48,1.6,0.4,98087.19611475678,16792.6790902567
Morris,CMA,Problem1,10.0,0.46,0.48,4.0,0.2,102156.74604768089,18271.764046813776
Morris,CMA,Problem1,10.0,0.46,0.48,4.0,0.4,96762.22502933066,15206.331973839864
Morris,CMA,Problem1,10.0,0.46,1.62,4.0,0.4,97546.58006247133,17577.371139265277
Morris,CMA,Problem1,10.0,0.46,1.62,4.0,1.0,101681.78515014515,14345.53863356134
Morris,CMA,Problem1,10.0,0.64,0.1,2.4,0.6,99650.32746925548,17973.530994115128
Morris,CMA,Problem1,10.0,1.0,0.48,1.6,0.2,97973.87769936882,18193.42811264462
Morris,CMA,Problem1,10.0,1.0,0.48,1.6,0.4,101027.49239223507,11608.529004454798
Morris,CMA,Problem1,10.0,1.0,0.48,1.6,0.8,93532.76854338474,13646.134255719686
Morris,CMA,Problem1,10.0,1.0,0.48,4.0,0.2,99353.0113306279,16055.251852141544
Morris,CMA,Problem1,10.0,1.0,1.62,1.6,0.8,104258.33120275904,18318.775271231156
Morris,CMA,Problem1,1000.0,0.1,0.1,0.8,0.0,100972.96762645867,13158.951525119395
Morris,CMA,Problem1,1000.0,0.1,0.1,0.8,0.6,98717.37696802815,14722.636113668572
Morris,CMA,Problem1,1000.0,0.1,0.1,3.2,0.6,99173.89137796154,17939.82963024565
Morris,CMA,Problem1,1000.0,0.1,0.86,0.8,0.2,98790.57304744792,15393.790870802572
Morris,CMA,Problem1,1000.0,0.1,1.24,3.2,0.6,96982.11871525896,15672.575397328003
Morris,CMA,Problem1,1000.0,0.1,2.0,0.8,0.2,98783.13539500382,13945.14853697008
Morris,CMA,Problem1,1000.0,0.1,2.0,3.2,0.2,97516.79842132817,14754.957116958854
Morris,CMA,Problem1,1000.0,0.1,2.0,3.2,0.8,97928.69053279249,12749.999473499867
Morris,CMA,Problem1,1000.0,0.46,0.1,4.0,0.6,97483.93237322936,16095.377168749426
Morris,CMA,Problem1,1000.0,1.0,0.1,4.0,0.6,100736.65395575934,14837.883112932399
Morris,CMA,Problem1,1000.0,1.0,1.24,4.0,0.6,101004.24186477852,16761.153082182067
Morris,CMA,Problem1,208.0,0.1,1.24,2.4,1.0,94964.43591869602,16709.325802636442
Morris,CMA,Problem1,208.0,0.28,0.86,1.6,0.6,101585.18963318445,15606.68708892942
Morris,CMA,Problem1,208.0,0.28,2.0,1.6,0.6,98812.21329922196,17536.469465392733
Morris,CMA,Problem1,208.0,0.28,2.0,3.2,0.0,97618.97000233034,17264.5358493043
Morris,CMA,Problem1,208.0,0.28,2.0,3.2,0.6,98514.79230335374,13369.827655817584
Morris,CMA,Problem1,208.0,0.82,0.86,1.6,0.0,98196.06841167613,15256.464295196836
Morris,CMA,Problem1,208.0,0.82,0.86,1.6,0.6,100961.50193018094,15018.539047460896
Morris,CMA,Problem1,208.0,0.82,0.86,4.0,0.0,105727.91300351237,14937.58444607137
Morris,CMA,Problem1,208.0,0.82,2.0,1.6,0.6,100259.16605510496,15668.054049991364
Morris,CMA,Problem1,406.0,0.1,0.86,0.8,0.2,106476.4566056355,18111.76172532854
Morris,CMA,Problem1,406.0,0.1,1.24,3.2,0.6,103622.96875073867,19204.28371223061
Morris,CMA,Problem1,406.0,0.64,0.86,0.8,0.2,100530.62151206052,18921.429509168465
Morris,CMA,Problem1,406.0,0.64,1.24,3.2,0.6,99111.38956622964,15425.794597336366
Morris,CMA,Problem1,406.0,1.0,1.24,1.6,0.0,98100.52659075036,15258.697139376445
Morris,CMA,Problem1,406.0,1.0,1.24,4.0,0.0,94635.44429791106,17235.692029321173
Morris,CMA,Problem1,406.0,1.0,1.24,4.0,0.6,100092.84589831837,14144.085199408739
Morris,CMA,Problem1,604.0,0.64,0.1,2.4,0.0,98309.40875919099,14284.586087232543
Morris,CMA,Problem1,604.0,0.64,0.1,2.4,0.6,98646.11704402328,14419.725878286741
Morris,CMA,Problem1,604.0,0.64,1.24,0.0,0.0,100527.87672387787,18440.374341232
Morris,CMA,Problem1,604.0,0.64,1.24,2.4,0.0,94255.6483606616,14414.062189943861
Morris,CMA,Problem1,604.0,1.0,0.48,1.6,0.4,101145.11737201927,18253.699508934547
Morris,CMA,Problem1,604.0,1.0,1.62,1.6,0.8,104474.5577504409,14371.816894691443
Morris,CMA,Problem1,802.0,0.1,0.1,0.0,0.4,98078.93466039856,17923.97332620869
Morris,CMA,Problem1,802.0,0.1,1.24,0.0,0.4,101493.64302135003,14440.387431888556
Morris,CMA,Problem1,802.0,0.1,1.24,2.4,0.4,99226.52541870794,16053.707067432242
Morris,CMA,Problem1,802.0,0.1,1.24,2.4,1.0,96238.31111366602,15637.648891428647
Morris,CMA,Problem1,802.0,0.28,0.86,0.8,0.6,94898.93496566071,17406.16011973333
Morris,CMA,Problem1,802.0,0.28,2.0,0.8,0.6,104662.5851650859,12088.836234800518
Morris,CMA,Problem1,802.0,0.28,2.0,3.2,0.6,99597.16101328876,16137.417038737602
Morris,CMA,Problem1,802.0,0.64,0.1,0.0,0.4,101917.89163038832,15362.636633113481
Morris,CMA,Problem1,802.0,0.82,0.86,0.8,0.6,96762.58699186066,19492.852216124353
Morris,CMA,Problem1,802.0,0.82,0.86,1.6,0.6,97814.39555649954,18245.62046598947
Morris,CMA,Problem1,802.0,0.82,0.86,4.0,0.0,99463.26961561468,15544.911803746552
Morris,CMA,Problem1,802.0,0.82,0.86,4.0,0.6,95098.69899519732,15088.081467263664
Morris,CMA,Problem1,802.0,0.82,2.0,1.6,0.6,98594.80812272383,17377.770791280807
