method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,C1_DTLZ1,3,1000.0,0.75454545,200.0,0.59090909,20.0,1.2727273,0.17272727,,,
Morris,MOEAD,C1_DTLZ1,3,1000.0,0.75454545,200.0,0.59090909,20.0,2.9090909,0.17272727,,,
Morris,MOEAD,C1_DTLZ1,3,1000.0,0.75454545,200.0,0.59090909,20.0,2.9090909,0.39090909,,,
Morris,MOEAD,C1_DTLZ1,3,1000.0,0.75454545,92.0,0.59090909,20.0,1.2727273,0.17272727,,,
Morris,MOEAD,C1_DTLZ1,3,1000.0,1.0,38.0,0.83636364,146.0,2.0909091,0.20909091,,,
Morris,MOEAD,C1_DTLZ1,3,1000.0,1.0,38.0,0.83636364,146.0,2.0909091,0.42727273,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.1818182,164.0,0.7545455,74.0,3.727273,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.1818182,56.0,0.7545455,74.0,2.090909,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.1818182,56.0,0.7545455,74.0,3.727273,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.1818182,56.0,0.7545455,74.0,3.727273,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.5090909,74.0,0.8363636,200.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.5090909,74.0,0.8363636,92.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.8363636,92.0,0.3454545,128.0,3.454545,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,0.8363636,92.0,0.3454545,20.0,3.454545,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,1.0,182.0,0.8363636,92.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,109.0909,1.0,74.0,0.8363636,92.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.1818182,2.0,0.9181818,2.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.2636364,182.0,0.1,200.0,3.454545,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.2636364,182.0,0.1,92.0,3.454545,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.2636364,182.0,0.5909091,200.0,3.454545,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.2636364,74.0,0.1,92.0,3.454545,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.5090909,128.0,0.7545455,56.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.5090909,56.0,0.1818182,182.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.5090909,56.0,0.1818182,182.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.6727273,2.0,0.9181818,2.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.6727273,2.0,0.9181818,2.0,2.090909,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.7545455,74.0,0.1,92.0,1.818182,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.7545455,74.0,0.1,92.0,1.818182,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.7545455,74.0,0.1,92.0,3.454545,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.8363636,20.0,1.0,164.0,3.727273,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,0.8363636,20.0,1.0,56.0,3.727273,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,1.0,128.0,0.7545455,164.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,1.0,128.0,0.7545455,164.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,1.0,128.0,0.7545455,56.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,1.0,20.0,0.2636364,164.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,198.1818,1.0,20.0,0.7545455,164.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.263636,92.0,0.345455,56.0,1.54545,0.427273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.2636364,92.0,0.3454545,164.0,1.545455,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.2636364,92.0,0.3454545,164.0,3.181818,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.4272727,200.0,0.7545455,110.0,4.0,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.4272727,92.0,0.7545455,110.0,4.0,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.427273,92.0,0.263636,2.0,2.36364,0.318182,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.427273,92.0,0.263636,2.0,4.0,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.427273,92.0,0.263636,2.0,4.0,0.318182,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.427273,92.0,0.754545,2.0,4.0,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.1,74.0,3.181818,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,182.0,1.545455,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,182.0,3.181818,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,74.0,3.181818,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.754545,92.0,0.345455,56.0,1.54545,0.427273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.754545,92.0,0.836364,56.0,1.54545,0.427273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.7545455,200.0,0.8363636,56.0,1.545455,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,3.727273,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,3.727273,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,2.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.836364,38.0,0.263636,2.0,2.09091,0.354545,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.3454545,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.8363636,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.8363636,110.0,2.909091,0.2818182,,,
