method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.1,110.0,0.1,164.0,3.4545455,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.1,110.0,0.1,164.0,7.8181818,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.26363636,110.0,0.18181818,200.0,2.7272727,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.34545455,200.0,0.59090909,200.0,7.8181818,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.42727273,20.0,0.42727273,200.0,7.0909091,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.42727273,20.0,0.91818182,200.0,7.0909091,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.75454545,110.0,0.18181818,200.0,2.7272727,,,
Morris,NSGAIII,C1_DTLZ1,3,1000.0,0.75454545,110.0,0.18181818,200.0,7.0909091,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.2636364,128.0,0.4272727,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.2636364,20.0,0.4272727,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.2636364,20.0,0.4272727,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.2636364,20.0,0.9181818,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.7545455,128.0,0.4272727,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.9181818,182.0,0.6727273,110.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.9181818,74.0,0.6727273,110.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.9181818,74.0,0.6727273,2.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,109.0909,0.9181818,74.0,0.6727273,2.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,198.1818,0.4272727,164.0,0.1818182,182.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.1,92.0,0.427273,56.0,6.36364,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.1,92.0,0.918182,56.0,6.36364,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.263636,92.0,0.509091,92.0,6.36364,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.263636,92.0,1.0,92.0,6.36364,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.4272727,128.0,0.2636364,146.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.590909,92.0,0.918182,56.0,6.36364,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.5909091,92.0,0.9181818,164.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.8363636,20.0,0.1818182,110.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.8363636,20.0,0.6727273,110.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,20.0,0.8363636,20.0,0.6727273,110.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.1,146.0,0.5909091,128.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.2636364,74.0,0.9181818,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.4272727,110.0,0.3454545,92.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.4272727,146.0,0.1818182,164.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.4272727,146.0,0.1818182,164.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.4272727,146.0,0.1818182,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.8363636,128.0,0.5090909,200.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.8363636,128.0,1.0,200.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,110.0,0.3454545,92.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,146.0,0.1818182,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,182.0,0.5090909,20.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,182.0,1.0,128.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,182.0,1.0,20.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,74.0,1.0,128.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,0.9181818,74.0,1.0,128.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,287.2727,1.0,38.0,0.1818182,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.2636364,200.0,0.2636364,128.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.2636364,200.0,0.2636364,20.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.7545455,200.0,0.2636364,128.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.7545455,200.0,0.2636364,128.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.7545455,200.0,0.7545455,128.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.9181818,200.0,0.5909091,164.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,376.3636,0.9181818,200.0,0.5909091,164.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.1,110.0,0.1,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.2636364,110.0,0.1818182,200.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.2636364,110.0,0.6727273,200.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.2636364,2.0,0.6727273,200.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.2636364,2.0,0.6727273,92.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.3454545,200.0,0.5909091,200.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.3454545,92.0,0.5909091,200.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.3454545,92.0,0.5909091,92.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.4272727,128.0,0.9181818,200.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.4272727,20.0,0.9181818,200.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.5909091,110.0,0.1,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.5909091,110.0,0.5909091,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.5909091,2.0,0.5909091,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.5909091,2.0,0.5909091,56.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.8363636,92.0,0.1,92.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.8363636,92.0,0.5909091,92.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.8363636,92.0,0.5909091,92.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.9181818,128.0,0.9181818,200.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.9181818,128.0,0.9181818,92.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,465.4545,0.9181818,128.0,0.9181818,92.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.1,200.0,0.4272727,56.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.1,92.0,0.4272727,56.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.1,92.0,0.4272727,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.2636364,92.0,0.5090909,200.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.2636364,92.0,0.5090909,92.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.3454545,128.0,0.6727273,110.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.3454545,128.0,0.6727273,2.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.3454545,20.0,0.6727273,110.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.4272727,128.0,0.2636364,146.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.4272727,128.0,0.2636364,146.0,7.090909,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.7545455,200.0,0.5090909,200.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.7545455,92.0,0.5090909,200.0,2.0,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.7545455,92.0,0.5090909,200.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.8363636,20.0,0.6727273,110.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.9181818,128.0,0.2636364,146.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.9181818,128.0,0.7545455,146.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.9181818,20.0,0.7545455,146.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,554.5455,0.9181818,20.0,0.7545455,38.0,2.727273,,,
Morris,NSGAIII,C1_DTLZ1,3,643.6364,0.4272727,182.0,0.1818182,110.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,643.6364,0.4272727,182.0,0.6727273,110.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,643.6364,0.7545455,128.0,0.4272727,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,643.6364,0.7545455,128.0,0.4272727,56.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,643.6364,0.9181818,182.0,0.6727273,110.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.4272727,164.0,0.1818182,182.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.4272727,164.0,0.1818182,182.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.4272727,56.0,0.1818182,182.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.4272727,56.0,0.1818182,74.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.9181818,56.0,0.1818182,74.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,732.7273,0.9181818,56.0,0.6727273,74.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.1,146.0,0.1,128.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.1,146.0,0.5909091,128.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.1,38.0,0.1,128.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.2636364,74.0,0.4272727,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.2636364,74.0,0.9181818,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.3454545,20.0,1.0,200.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.3454545,20.0,1.0,92.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.3454545,20.0,1.0,92.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,110.0,0.3454545,200.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,110.0,0.3454545,92.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,182.0,0.5090909,20.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,2.0,0.3454545,200.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,2.0,0.8363636,200.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.4272727,2.0,0.8363636,200.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.5090909,146.0,0.6727273,56.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.5909091,38.0,0.1,128.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.5909091,38.0,0.1,20.0,4.909091,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.5909091,38.0,0.1,20.0,9.272727,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.7545455,182.0,0.4272727,164.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.7545455,182.0,0.4272727,164.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.7545455,182.0,0.4272727,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.7545455,74.0,0.4272727,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.8363636,128.0,1.0,200.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.8363636,20.0,1.0,200.0,8.545455,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.9181818,146.0,0.1818182,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.9181818,182.0,0.5090909,20.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.9181818,38.0,0.1818182,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,0.9181818,38.0,0.6727273,56.0,6.363636,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,1.0,146.0,0.6727273,56.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,1.0,38.0,0.1818182,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,1.0,38.0,0.1818182,164.0,7.818182,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,1.0,38.0,0.6727273,164.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,821.8182,1.0,38.0,0.6727273,56.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.2636364,200.0,0.2636364,20.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.2636364,92.0,0.2636364,20.0,3.454545,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.4272727,92.0,0.1,164.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.4272727,92.0,0.1,56.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.9181818,200.0,0.5909091,164.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.9181818,92.0,0.1,164.0,4.181818,,,
Morris,NSGAIII,C1_DTLZ1,3,910.9091,0.9181818,92.0,0.5909091,164.0,4.181818,,,
