method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,10.0,0.1,0.733333,2.66667,0.666667,18.26976295301551,39.29668519014705
Morris,CMA,Problem1,10.0,0.1,1.78889,0.444444,0.666667,8.644466263381748,18.169610758923916
Morris,CMA,Problem1,10.0,0.1,1.78889,2.66667,0.666667,7.89467940253016,16.62824653996891
Morris,CMA,Problem1,10.0,0.2,0.522222,0.0,0.222222,1.2812724995898968,2.6825180062493783
Morris,CMA,Problem1,10.0,0.2,0.522222,0.0,0.777778,0.8908922311095295,1.8941889991296057
Morris,CMA,Problem1,10.0,0.2,1.57778,0.0,0.222222,0.7157209478895631,1.7671432279253247
Morris,CMA,Problem1,10.0,0.2,1.57778,2.22222,0.222222,0.2387199508484696,0.5331522965486832
Morris,CMA,Problem1,10.0,0.3,0.1,1.77778,0.111111,0.573333223410587,1.3389282152970774
Morris,CMA,Problem1,10.0,0.3,0.1,4.0,0.111111,0.9629340629117713,2.948707777963266
Morris,CMA,Problem1,10.0,0.3,1.15556,4.0,0.111111,0.033290655679823346,0.07095211477107465
Morris,CMA,Problem1,10.0,0.4,1.57778,4.0,0.222222,0.008606717714992464,0.02006321813944981
Morris,CMA,Problem1,10.0,0.4,1.78889,2.22222,0.111111,0.005932964671700654,0.012450340388245232
Morris,CMA,Problem1,10.0,0.5,0.311111,2.22222,1.0,0.04847623720214823,0.1015329043562463
Morris,CMA,Problem1,10.0,0.5,0.522222,3.55556,0.111111,0.025436130268655842,0.053449796737921114
Morris,CMA,Problem1,10.0,0.5,0.944444,0.444444,0.777778,0.017016718108951796,0.042383428399019055
Morris,CMA,Problem1,10.0,0.5,1.36667,2.22222,1.0,0.0031018182748548543,0.006636506724663047
Morris,CMA,Problem1,10.0,0.5,2.0,4.0,0.888889,0.0027558468508799795,0.006203722278320753
Morris,CMA,Problem1,10.0,0.7,1.57778,2.22222,0.222222,0.02030237850047166,0.04417712879897558
Morris,CMA,Problem1,10.0,0.8,0.1,1.77778,0.111111,336.6202013825292,1036.2215002450948
Morris,CMA,Problem1,10.0,0.8,0.1,4.0,0.111111,626.7058635094629,1324.7861855214103
Morris,CMA,Problem1,10.0,0.9,0.733333,0.0,0.666667,997.6237564744649,2744.6022018764693
Morris,CMA,Problem1,10.0,0.9,0.733333,2.22222,0.111111,967.5240524163146,2442.853462107331
Morris,CMA,Problem1,10.0,0.9,0.733333,2.22222,0.666667,1369.321428128062,3163.2141580652096
Morris,CMA,Problem1,10.0,0.9,1.57778,4.0,0.222222,909.0115802392359,2293.9058315921807
Morris,CMA,Problem1,10.0,0.9,1.78889,2.22222,0.111111,836.4433845815378,2428.0842682470616
Morris,CMA,Problem1,10.0,1.0,0.311111,0.0,0.444444,6210.526065560289,12628.303895292573
Morris,CMA,Problem1,10.0,1.0,0.311111,2.22222,0.444444,5571.876194152882,12225.437543718197
Morris,CMA,Problem1,10.0,1.0,0.311111,2.22222,1.0,1924.2723624201474,3600.4041514228174
Morris,CMA,Problem1,10.0,1.0,0.311111,2.66667,0.222222,4107.692798424833,8195.660970656425
Morris,CMA,Problem1,10.0,1.0,0.522222,3.55556,0.111111,3675.5487391679767,7558.691182802343
Morris,CMA,Problem1,10.0,1.0,0.944444,4.0,0.888889,2931.502006788721,6731.634722845923
Morris,CMA,Problem1,10.0,1.0,2.0,4.0,0.888889,1934.0415206852845,4241.710171318722
Morris,CMA,Problem1,1000.0,0.1,0.1,1.7777778,0.88888889,91026.57599597436,15410.425236304407
Morris,CMA,Problem1,1000.0,0.1,0.1,4.0,0.88888889,81193.16873889342,24874.196654935582
Morris,CMA,Problem1,1000.0,0.2,1.3666667,1.3333333,0.11111111,62345.775207186874,48227.17649551329
Morris,CMA,Problem1,1000.0,0.3,0.31111111,1.7777778,0.0,79719.92485312739,28794.513860792213
Morris,CMA,Problem1,1000.0,0.3,0.73333333,0.44444444,0.77777778,90309.38781549354,23668.776580305446
Morris,CMA,Problem1,1000.0,0.3,1.3666667,1.7777778,0.0,60671.979159928254,50678.962970959976
Morris,CMA,Problem1,1000.0,0.4,1.3666667,1.7777778,0.0,67658.75480202385,51300.53201322896
Morris,CMA,Problem1,1000.0,0.5,0.73333333,2.2222222,0.0,65175.09709459303,35317.11851840897
Morris,CMA,Problem1,1000.0,0.5,0.73333333,2.2222222,0.55555556,70478.41298521111,35620.150162237784
Morris,CMA,Problem1,1000.0,0.5,1.7888889,2.2222222,0.0,60791.04538557064,49655.38747265622
Morris,CMA,Problem1,1000.0,0.5,2.0,4.0,0.0,61181.88510139737,48500.94351531808
Morris,CMA,Problem1,1000.0,0.5,2.0,4.0,0.55555556,63622.45287513735,51304.264977386
Morris,CMA,Problem1,1000.0,0.6,0.1,1.7777778,0.88888889,99921.70371423458,18806.331901715108
Morris,CMA,Problem1,1000.0,0.7,0.1,3.1111111,0.0,99012.46780840671,19318.70250002764
Morris,CMA,Problem1,1000.0,0.7,1.1555556,3.1111111,0.0,70586.03885417407,43690.580962760374
Morris,CMA,Problem1,1000.0,0.8,0.31111111,1.7777778,0.0,97167.00712987743,15056.93165048071
Morris,CMA,Problem1,1000.0,0.8,0.31111111,4.0,0.0,86799.05675784437,24938.5125070523
Morris,CMA,Problem1,1000.0,0.8,0.31111111,4.0,0.55555556,88188.65806550867,24415.516408251602
Morris,CMA,Problem1,1000.0,0.8,1.3666667,0.0,0.55555556,97425.5070162247,22918.30203525684
Morris,CMA,Problem1,1000.0,0.9,1.3666667,0.88888889,0.44444444,88474.9617275311,38259.35083089768
Morris,CMA,Problem1,1000.0,0.9,1.3666667,3.1111111,0.44444444,70311.54571851803,41662.96319473183
Morris,CMA,Problem1,1000.0,0.9,1.3666667,3.1111111,1.0,75440.2867337649,32768.925068762415
Morris,CMA,Problem1,1000.0,1.0,0.94444444,3.5555556,0.55555556,89653.39353552491,22188.266540078064
Morris,CMA,Problem1,1000.0,1.0,1.7888889,2.2222222,0.0,79563.36249320247,32406.886074835933
Morris,CMA,Problem1,1000.0,1.0,2.0,4.0,0.55555556,63695.67274872924,38721.746635620286
Morris,CMA,Problem1,120.0,0.1,0.5222222,3.555556,0.3333333,18340.59926505935,38510.30089613246
Morris,CMA,Problem1,120.0,0.1,0.9444444,0.0,0.0,18949.18256745871,38755.96764003009
Morris,CMA,Problem1,120.0,0.1,1.155556,1.777778,0.1111111,21951.128753661687,47146.23340109576
Morris,CMA,Problem1,120.0,0.1,1.155556,1.777778,0.6666667,17641.030305307882,37006.22388282854
Morris,CMA,Problem1,120.0,0.1,1.155556,4.0,0.6666667,13232.862176410092,28527.39415560913
Morris,CMA,Problem1,120.0,0.1,1.577778,1.333333,0.3333333,20983.694375614818,44532.481835391256
